aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
4.7	5.3	-8.0	8.0	15.3	-4.2			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.698922	25.0	25.0	25.0	25.0	25.0	26.16	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.8	7.8	15.5	-4.6			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.736346	25.0	25.0	25.0	25.0	25.0	26.15	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
3.9	6.0	-7.3	7.3	15.5	-4.6			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.763907	25.0	25.0	25.0	25.0	25.0	26.14	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
3.9	6.0	-7.3	7.3	15.5	-4.6			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.794489	25.0	25.0	25.0	25.0	25.0	26.14	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
3.9	6.0	-7.3	7.3	15.5	-4.6			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.82762	25.0	25.0	25.0	25.0	25.0	26.13	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.6	5.4	-7.9	7.9	15.6	-4.3			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.860324	25.0	25.0	25.0	25.0	25.0	26.12	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.7	5.2	-8.0	8.0	15.4	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.890316	25.0	25.0	25.0	25.0	25.0	26.11	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.4	5.6	-7.7	7.7	15.4	-4.1			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.922746	25.0	25.0	25.0	25.0	25.0	26.13	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.4	5.6	-7.7	7.7	15.4	-4.1			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.95378	25.0	25.0	25.0	25.0	25.0	26.1	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.8	7.8	15.3	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858987.987641	25.0	25.0	25.0	25.0	25.0	26.09	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.8	7.8	15.3	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.025364	25.0	25.0	25.0	25.0	25.0	26.07	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.8	7.8	15.3	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.054292	25.0	25.0	25.0	25.0	25.0	26.07	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.7	7.7	15.3	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.08576	25.0	25.0	25.0	25.0	25.0	26.06	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.4	5.5	-7.7	7.7	15.5	-4.3			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.116229	25.0	25.0	25.0	25.0	25.0	26.05	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.4	5.5	-7.7	7.7	15.5	-4.3			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.14761	25.0	25.0	25.0	25.0	25.0	26.04	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.8	5.1	-8.1	8.1	15.5	-4.4			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.17742	25.0	25.0	25.0	25.0	25.0	26.03	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.8	5.1	-8.1	8.1	15.5	-4.4			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.208717	25.0	25.0	25.0	25.0	25.0	26.02	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.7	5.3	-8.0	8.0	15.6	-4.1			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.241424	25.0	25.0	25.0	25.0	25.0	26.01	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.9	5.1	-8.1	8.1	15.5	-4.0			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.273827	25.0	25.0	25.0	25.0	25.0	26.01	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.9	5.1	-8.1	8.1	15.5	-4.0			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.304937	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.8	5.2	-8.1	8.1	15.6	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.336127	25.0	25.0	25.0	25.0	25.0	25.99	25.0	25.0	144	154	138	35	31	32			191	283	378	195	288	383		
4.4	5.6	-7.8	7.8	15.6	-4.4			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.367234	25.0	25.0	25.0	25.0	25.0	25.98	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.4	5.6	-7.8	7.8	15.6	-4.4			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.401194	25.0	25.0	25.0	25.0	25.0	25.97	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.8	7.8	15.3	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.435903	25.0	25.0	25.0	25.0	25.0	25.96	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.5	5.5	-7.8	7.8	15.3	-4.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.46773	25.0	25.0	25.0	25.0	25.0	25.95	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
4.4	5.6	-7.8	7.8	15.4	-4.4			2.5	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858988.499158	25.0	25.0	25.0	25.0	25.0	25.94	25.0	25.0	144	153	138	35	31	32			191	283	378	195	288	383		
