aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
2.0	6.0	-10.7	10.7	16.2	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.561523	25.0	26.97	25.3	30.7	25.0	29.26	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	6.0	-10.7	10.7	16.2	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.594032	25.0	26.9	25.31	30.68	25.0	29.25	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	6.0	-10.7	10.7	16.2	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.625717	25.0	26.87	25.29	30.67	25.0	29.19	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.8	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.656864	25.0	26.88	25.27	30.65	25.0	29.21	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.8	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.691402	25.0	27.03	25.23	30.59	25.0	29.2	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.8	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.721719	25.0	27.03	25.21	30.61	25.0	29.14	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.8	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.752375	25.0	27.02	25.2	30.61	25.0	29.15	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.1	5.6	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.788268	25.0	26.82	25.16	30.55	25.0	29.14	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.7	-10.8	10.8	16.3	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.820264	25.0	26.78	25.14	30.56	25.0	29.13	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.7	-10.8	10.8	16.3	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.861888	25.0	26.74	25.12	30.55	25.0	29.08	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.7	-10.8	10.8	16.3	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.897673	25.0	26.72	25.08	30.53	25.0	29.09	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.9	-10.8	10.8	16.5	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.937754	25.0	26.69	25.05	30.51	25.0	29.03	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.9	-10.8	10.8	16.5	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.963272	25.0	26.67	25.04	30.36	25.0	29.04	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.9	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859740.997659	25.0	26.64	25.0	30.47	25.0	29.03	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.8	10.8	16.3	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.039222	25.0	26.6	25.0	30.45	25.0	29.01	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.8	10.8	16.3	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.080924	25.0	26.57	25.0	30.43	25.0	28.99	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.9	10.9	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.117359	25.0	26.53	25.0	30.41	25.0	28.97	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.9	10.9	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.152241	25.0	26.51	25.0	30.39	25.0	28.91	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.9	10.9	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.180714	25.0	26.5	25.0	30.39	25.0	28.93	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.9	10.9	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.212377	25.0	26.46	25.0	30.32	25.0	28.93	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.6	-10.9	10.9	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.249065	25.0	26.44	25.0	30.34	25.0	28.9	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.7	-10.8	10.8	16.2	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.283897	25.0	26.42	25.0	30.33	25.0	28.89	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.7	-10.8	10.8	16.2	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.322286	25.0	26.38	25.0	30.17	25.0	28.87	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.1	5.7	-10.9	10.9	16.3	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.350228	25.0	26.36	25.0	30.1	25.0	28.85	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	6.1	-10.7	10.7	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.383823	25.0	26.32	25.0	30.06	25.0	28.83	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	5.8	-10.8	10.8	16.3	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.421064	25.0	26.3	25.0	30.18	25.0	28.82	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.1	5.5	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.454498	25.0	26.27	25.0	30.21	25.0	28.66	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.1	5.5	-10.8	10.8	16.2	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.485845	25.0	26.24	25.0	30.2	25.0	28.77	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.1	5.8	-10.8	10.8	16.4	-10.4			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.516857	25.0	26.23	25.0	30.19	25.0	28.77	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
2.0	6.0	-10.7	10.7	16.3	-10.5			1.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548859741.548317	25.0	26.2	25.0	30.17	25.0	28.75	25.0	25.0	145	157	141	43	35	37			193	285	381	195	287	383		
