aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-4.2	2.5	9.1	-9.1	-1.0	8.6			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.088317	25.0	25.88	25.0	25.0	25.0	26.11	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.1	2.1	8.7	-8.7	-0.8	8.3			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.120007	25.0	25.78	25.0	25.0	25.0	25.95	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.4	3.0	9.9	-9.9	-1.1	8.9			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.148935	25.0	25.87	25.0	25.0	25.0	26.07	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.4	3.0	9.9	-9.9	-1.1	8.7			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.180261	25.0	25.88	25.0	25.0	25.0	26.08	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.3	2.3	9.2	-9.2	-0.8	8.4			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.210361	25.0	25.87	25.0	25.0	25.0	26.07	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.3	2.3	9.2	-9.2	-0.8	8.4			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.246052	25.0	25.81	25.0	25.0	25.0	26.06	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.3	2.3	9.2	-9.2	-0.8	8.4			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.272742	25.0	25.83	25.0	25.0	25.0	26.05	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.2	2.8	9.7	-9.7	-1.1	8.9			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.303486	25.0	25.81	25.0	25.0	25.0	26.03	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-3.9	2.4	9.4	-9.4	-1.2	8.9			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.335969	25.0	25.8	25.0	25.0	25.0	25.98	25.0	25.0	137	158	138	68	65	67			191	256	325	192	260	329		
-4.1	2.7	9.7	-9.7	-1.2	8.7			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.369202	25.0	25.64	25.0	25.0	25.0	25.96	25.0	25.0	137	158	138	68	65	67			191	256	326	192	260	329		
-4.1	2.7	9.7	-9.7	-1.2	8.7			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.399819	25.0	25.61	25.0	25.0	25.0	25.98	25.0	25.0	137	158	138	68	65	67			191	256	326	192	260	329		
-4.1	2.7	9.7	-9.7	-1.2	8.7			2.3999999999999773	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858116.432876	25.0	25.55	25.0	25.0	25.0	25.96	25.0	25.0	137	158	138	68	65	67			191	256	326	192	260	329		
