aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-4.3	0.5	6.7	-6.7	1.0	6.2			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.309525	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	157	139	67	65	68			192	257	326	193	261	330		
-4.1	0.5	6.5	-6.5	1.2	6.4			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.341013	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	157	139	67	65	68			192	257	326	193	261	330		
-4.1	0.5	6.5	-6.5	1.2	6.4			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.378612	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	157	139	67	65	68			192	257	326	193	261	330		
-4.8	1.3	7.2	-7.2	1.2	6.2			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.404324	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	158	139	67	65	68			192	257	326	193	261	330		
-4.8	1.3	7.2	-7.2	1.2	6.2			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.435287	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	158	139	67	65	68			192	257	326	193	261	330		
-4.8	1.3	7.2	-7.2	1.2	6.2			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.466219	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	158	139	67	65	68			192	257	326	193	261	330		
-4.8	1.3	7.2	-7.2	1.2	6.2			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.497109	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	158	139	67	65	68			192	257	326	193	261	330		
-4.8	1.3	7.2	-7.2	1.2	6.2			2.6000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.528404	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	158	139	67	65	68			192	257	326	193	261	330		
-4.3	0.6	6.5	-6.5	1.2	6.1			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.565177	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	157	139	67	65	68			192	257	326	193	261	330		
-4.1	0.3	6.5	-6.5	1.2	6.4			2.6999999999999886	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548858075.599735	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	136	157	139	67	65	68			192	257	326	193	261	330		
