aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
1.2	4.9	-4.1	4.1	9.4	-2.7			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.255919	25.0	25.0	25.0	29.33	25.0	30.44	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.1	4.1	9.4	-2.7			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.291389	25.0	25.0	25.0	29.31	25.0	30.39	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	5.0	-3.9	3.9	9.2	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.318868	25.0	25.0	25.0	29.29	25.0	30.4	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	5.0	-3.9	3.9	9.2	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.351335	25.0	25.0	25.0	29.27	25.0	30.39	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-3.9	3.9	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.382626	25.0	25.0	25.0	29.25	25.0	30.38	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-3.9	3.9	9.2	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.419107	25.0	25.0	25.0	29.22	25.0	30.36	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-3.9	3.9	9.2	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.448047	25.0	25.0	25.0	29.2	25.0	30.35	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-3.9	3.9	9.2	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.476187	25.0	25.0	25.0	29.18	25.0	30.33	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.0	5.2	-3.7	3.7	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.508647	25.0	25.0	25.0	29.16	25.0	30.32	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	5.0	-4.0	4.0	9.3	-2.6			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.542697	25.0	25.0	25.0	29.14	25.0	30.3	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	5.0	-4.0	4.0	9.3	-2.6			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.573616	25.0	25.0	25.0	29.11	25.0	30.28	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	5.0	-4.1	4.1	9.4	-2.7			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.604777	25.0	25.0	25.0	29.09	25.0	30.26	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.0	5.2	-3.7	3.7	9.3	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.636973	25.0	25.0	25.0	29.08	25.0	30.26	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.0	5.2	-3.7	3.7	9.3	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.668088	25.0	25.0	25.0	29.04	25.0	30.2	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.3	4.9	-4.0	4.0	9.3	-2.6			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.700934	25.0	25.0	25.0	29.02	25.0	30.21	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.0	5.2	-3.7	3.7	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.739918	25.0	25.0	25.0	28.99	25.0	30.19	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.0	5.2	-3.7	3.7	9.3	-2.6			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.77206	25.0	25.0	25.0	28.97	25.0	30.18	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.1	4.1	9.4	-2.6			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.803373	25.0	25.0	25.0	28.95	25.0	30.16	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.1	4.1	9.4	-2.6			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.835343	25.0	25.0	25.0	28.93	25.0	30.15	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.0	4.0	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.868599	25.0	25.0	25.0	28.91	25.0	30.13	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.0	4.0	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.896525	25.0	25.0	25.0	28.88	25.0	30.12	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.0	4.0	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.933273	25.0	25.0	25.0	28.85	25.0	30.1	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.0	4.0	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.963609	25.0	25.0	25.0	28.83	25.0	30.08	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-4.0	4.0	9.3	-2.5			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036824.993979	25.0	25.0	25.0	28.82	25.0	30.08	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
1.2	4.9	-3.9	3.9	9.3	-2.4			1.1000000000000227	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549036825.023993	25.0	25.0	25.0	28.8	25.0	30.06	25.0	25.0	140	138	138	39	41	35			186	268	352	187	270	354		
