aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
6.8	9.0	2.1	-2.1	8.6	9.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.109244	30.39	35.25	32.58	36.35	29.19	34.0	25.0	25.0	208	196	192	98	102	83			207	288	372	203	287	370		
6.9	9.0	2.1	-2.1	8.6	9.0			359.4	0	0	0	0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.1421843	30.44	35.31	32.5	36.42	29.42	34.13	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
7.0	8.9	2.0	-2.0	8.6	9.0			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.1718335	30.33	35.31	32.5	36.4	29.42	34.14	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
7.0	8.9	2.0	-2.0	8.6	9.0			359.4	0	0	0	0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.2049751	30.3	35.3	32.51	36.29	29.4	34.12	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.2	2.0	-2.0	8.5	9.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.2348268	30.27	35.22	32.49	36.26	29.38	33.84	25.0	25.0	208	196	192	98	102	83			207	288	372	203	287	370		
7.0	8.9	2.0	-2.0	8.5	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.2640173	30.23	34.99	32.45	36.37	29.35	33.88	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.1	2.1	-2.1	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.296707	30.21	34.95	32.52	36.33	29.33	33.77	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.1	2.1	-2.1	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.3288937	30.18	35.06	32.54	36.34	29.31	33.86	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.1	2.1	-2.1	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.3617208	30.14	34.95	32.46	36.27	29.28	33.96	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
7.0	8.9	2.0	-2.0	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.4211924	30.17	35.04	32.29	36.27	29.09	33.74	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	8.9	2.0	-2.0	8.5	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.4480507	30.06	35.02	32.17	36.26	29.2	33.74	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.0	2.1	-2.1	8.6	9.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.4929807	30.01	34.85	32.06	36.21	29.03	33.72	25.0	25.0	208	196	192	98	102	83			207	288	372	203	287	370		
6.9	9.2	2.0	-2.0	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.5334437	29.98	34.96	32.0	36.21	29.14	33.68	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.2	2.0	-2.0	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.5601623	29.94	34.93	31.97	36.02	29.12	33.66	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
6.9	9.2	2.0	-2.0	8.6	8.9			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549548115.5968244	29.9	34.9	31.91	35.98	29.09	33.81	25.0	25.0	208	196	192	98	102	84			207	288	372	203	287	370		
