aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
1.9	8.9	-1.8	1.8	11.0	7.4			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.172692	25.0	25.0	25.0	30.21	25.0	27.83	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
2.0	8.8	-2.0	2.0	10.9	7.4			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.1993527	25.0	25.0	25.0	30.2	25.0	27.69	25.0	25.0	188	187	192	85	92	80			197	279	362	200	285	368		
1.9	8.9	-1.8	1.8	11.0	7.4			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.2282898	25.0	25.0	25.0	30.18	25.0	27.66	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.8	8.9	-1.8	1.8	10.9	7.2			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.2602713	25.0	25.0	25.0	30.17	25.0	27.79	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	9.0	-1.8	1.8	10.9	7.6			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.289467	25.0	25.0	25.0	30.15	25.0	27.79	25.0	25.0	188	187	192	85	92	80			197	279	362	200	285	368		
1.9	9.0	-1.8	1.8	10.9	7.6			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.321122	25.0	25.0	25.0	30.14	25.0	27.65	25.0	25.0	188	187	192	85	92	80			197	279	362	200	285	368		
1.9	9.0	-1.8	1.8	10.9	7.4			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.3531737	25.0	25.0	25.0	30.12	25.0	27.76	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	9.0	-1.8	1.8	10.9	7.4			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.3842812	25.0	25.0	25.0	30.11	25.0	27.76	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	9.0	-1.8	1.8	11.0	7.2			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.414511	25.0	25.0	25.0	30.09	25.0	27.72	25.0	25.0	188	187	192	85	92	80			197	279	362	200	285	368		
2.0	8.7	-1.9	1.9	11.0	7.2			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.4469833	25.0	25.0	25.0	30.07	25.0	27.74	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
2.0	8.7	-1.9	1.9	11.0	7.2			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.4793904	25.0	25.0	25.0	30.05	25.0	27.73	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	8.8	-1.8	1.8	10.9	7.3			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.5139165	25.0	25.0	25.0	30.03	25.0	27.72	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	8.8	-1.8	1.8	10.9	7.3			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.548052	25.0	25.0	25.0	30.01	25.0	27.71	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	8.8	-1.8	1.8	10.9	7.3			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.5777113	25.0	25.0	25.0	29.99	25.0	27.66	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
1.9	9.0	-1.8	1.8	10.8	7.3			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.608824	25.0	25.0	25.0	29.97	25.0	27.68	25.0	25.0	188	187	192	85	92	80			197	279	362	200	285	368		
1.9	9.0	-1.8	1.8	10.8	7.3			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.6391332	25.0	25.0	25.0	29.96	25.0	27.67	25.0	25.0	188	187	192	85	92	80			197	279	362	200	285	368		
2.0	8.7	-2.0	2.0	10.9	7.6			3.3000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549536324.680646	25.0	25.0	25.0	29.93	25.0	27.66	25.0	25.0	188	187	192	85	92	80			197	279	363	200	285	368		
