aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
4.3	7.1	-7.3	7.3	10.4	9.2			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904741.8489196	30.59	29.0	26.88	33.17	28.67	34.85	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.4	6.9	-7.1	7.1	10.3	9.3			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904741.880208	30.55	28.87	26.82	33.12	28.63	34.83	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.4	6.9	-7.1	7.1	10.3	9.3			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904741.90986	30.53	28.83	26.78	33.09	28.61	34.81	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.2	7.1	-7.1	7.1	10.3	9.5			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904741.9400835	30.5	28.89	26.75	33.07	28.58	34.94	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	6.8	-7.2	7.2	10.4	9.4			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904741.9728673	30.48	28.75	26.72	33.04	28.56	34.8	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	7.0	-7.3	7.3	10.4	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.0355375	30.41	28.78	26.66	32.98	28.49	34.75	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	7.0	-7.3	7.3	10.4	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.0639625	30.37	28.8	26.59	33.09	28.45	34.73	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	7.0	-7.3	7.3	10.4	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.0965097	30.34	28.88	26.64	32.9	28.42	34.72	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	7.0	-7.3	7.3	10.4	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.1271598	30.31	28.67	26.51	33.01	28.39	34.7	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	6.7	-7.2	7.2	10.2	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.158803	30.29	28.56	26.59	32.99	28.36	34.68	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	6.7	-7.2	7.2	10.2	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.1943743	30.25	28.56	26.43	32.85	28.33	34.7	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.3	6.7	-7.2	7.2	10.2	9.1			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.2462828	30.18	28.4	26.35	32.93	28.26	34.64	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.2	7.1	-7.2	7.2	10.4	9.3			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.280211	30.16	28.47	26.31	32.78	28.24	34.61	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.2	7.1	-7.2	7.2	10.4	9.3			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.3134372	30.12	28.34	26.36	32.69	28.2	34.59	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.2	7.1	-7.2	7.2	10.4	9.3			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.3465955	30.09	28.31	26.24	32.66	28.17	34.57	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
4.2	7.1	-7.2	7.2	10.4	9.2			5.100000000000023	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549904742.3728793	30.07	28.34	26.19	32.63	28.15	34.7	25.0	25.0	206	208	214	110	114	95			197	278	362	202	287	369		
