aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.4024904	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.4418201	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.4746068	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.5074747	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.5379803	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.5691583	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.6043382	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.6338284	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.6733143	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.6986015	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.7355664	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.7624583	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.7948642	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.8244646	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.4	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.8579721	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.8940103	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.9217896	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492160.9834843	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.0151503	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.047974	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.0779357	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.1172066	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.1510344	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.182094	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.2128298	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.243745	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.280285	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.3236983	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.356084	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.3856165	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.4197838	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.447805	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.48081	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.3	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.5142546	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.5524209	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.5775805	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
3.2	6.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550492161.6079416	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	98	85	76						227	310	395					
