aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-4.4	0.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.0294003	27.09	33.87	32.35	32.16	25.28	33.48	25.0	25.0	85	91	86						209	292	376					
-4.4	0.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.0625532	26.96	33.85	32.33	32.14	25.26	33.47	25.0	25.0	85	91	86						209	292	376					
-4.4	0.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.0923638	26.95	33.83	32.3	32.12	25.28	33.45	25.0	25.0	85	91	86						209	292	376					
-4.3	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.127823	26.99	33.81	32.27	32.09	25.22	33.43	25.0	25.0	85	91	86						209	292	376					
-4.2	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.1674562	26.85	33.78	32.23	32.06	25.19	33.41	25.0	25.0	85	91	86						209	292	376					
-4.0	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.1940024	26.92	33.76	32.21	32.03	25.17	33.25	25.0	25.0	85	91	86						209	292	376					
-4.0	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.2258704	26.81	33.75	32.19	32.01	25.15	33.36	25.0	25.0	85	91	86						209	292	376					
-4.4	0.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.255806	26.77	33.72	32.15	31.98	25.08	33.35	25.0	25.0	85	91	86						209	292	376					
-4.4	0.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.289391	26.74	33.71	32.13	31.96	25.0	33.34	25.0	25.0	85	91	86						209	292	376					
-4.2	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496334.3176913	26.83	33.69	32.11	31.94	25.0	33.32	25.0	25.0	85	91	86						209	292	376					
