aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.6152716	33.1	37.8	37.47	39.05	33.26	36.78	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.6390843	33.07	37.79	37.5	38.87	33.17	36.72	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.669159	33.05	37.77	37.48	38.84	33.14	36.74	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.7025068	32.99	37.74	37.45	38.94	33.25	36.72	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.732636	32.98	37.73	37.38	38.8	33.15	36.71	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.7666535	32.91	37.71	37.39	38.76	33.12	36.65	25.0	25.0	75	89	97						212	293	377					
-5.5	3.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.7970097	32.91	37.68	37.36	38.73	33.06	36.67	25.0	25.0	75	89	97						212	293	377					
-5.5	3.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.8351617	32.87	37.66	37.33	38.7	32.97	36.65	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.8599563	32.86	37.65	37.31	38.83	32.99	36.64	25.0	25.0	75	89	97						212	293	377					
-5.6	3.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494321.8920655	32.68	37.62	37.28	38.7	32.79	36.62	25.0	25.0	75	89	97						212	293	377					
