aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-5.4	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.1530836	34.05	37.77	36.04	39.17	32.5	36.93	41.16	42.28	62	88	105						215	293	376					
-5.6	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.1834126	34.01	37.74	36.0	39.02	32.5	37.04	41.12	42.24	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.2159774	33.88	37.71	35.97	38.94	32.49	37.03	41.1	42.18	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.2495046	33.84	37.69	35.94	38.91	32.2	37.01	41.07	42.19	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.279025	33.91	37.66	35.89	39.02	32.19	36.99	41.04	42.18	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.308797	33.78	37.63	35.86	38.88	32.08	36.98	41.02	42.15	62	88	105						215	293	376					
-5.5	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.3394794	33.88	37.6	35.82	38.83	32.15	36.95	41.12	42.25	62	88	105						215	293	376					
-5.5	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.3722217	33.84	37.56	35.78	38.8	32.12	36.93	41.13	42.19	62	88	105						215	293	376					
-5.5	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.4031775	33.81	37.53	35.73	38.77	31.95	36.91	41.12	42.17	62	88	105						215	293	376					
-5.5	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.434035	33.78	37.5	35.7	38.75	31.92	36.89	40.96	42.19	62	88	105						215	293	376					
-5.5	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.4652984	33.74	37.47	35.66	38.71	31.99	36.73	40.88	41.99	62	88	105						215	293	376					
-5.6	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.4960546	33.67	37.43	35.61	38.68	31.97	36.84	40.81	42.08	62	88	105						215	293	376					
-5.6	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.5270824	33.67	37.41	35.49	38.66	31.82	36.83	40.81	41.97	62	88	105						215	293	376					
-5.6	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.557649	33.62	37.55	35.4	38.63	31.95	36.81	40.75	42.03	62	88	105						215	293	376					
-5.6	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.5886714	33.61	37.55	35.37	38.61	32.24	36.79	40.66	42.02	62	88	105						215	293	376					
-5.3	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.6271145	33.53	37.53	35.41	38.58	31.93	36.77	40.71	41.98	62	88	105						215	293	376					
-5.3	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.6551917	33.66	37.37	35.41	38.56	31.88	36.76	40.69	41.96	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.682345	33.65	37.3	35.39	38.53	31.7	36.74	40.58	41.98	62	88	105						215	293	376					
-5.7	1.1								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.7135375	33.63	37.41	35.5	38.51	31.78	36.73	40.52	41.97	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.7450688	33.49	37.26	35.22	38.49	31.73	36.67	40.6	41.95	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.7761722	33.44	37.22	35.15	38.46	31.91	36.68	40.58	41.93	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.8107922	33.49	37.22	35.1	38.43	31.87	36.66	40.51	41.85	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.8487182	33.39	37.17	35.18	38.41	31.6	36.65	40.42	41.7	62	88	105						215	293	376					
-5.7	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550494120.8734124	33.38	37.14	35.16	38.39	31.61	36.63	40.48	41.84	62	88	105						215	293	376					
