aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.1336896	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.1677594	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	0.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.2073247	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.23882	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.2687898	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.2996087	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.3303065	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.3674595	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.401761	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.4343474	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.4648275	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.4968877	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.529846	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.5669782	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.601691	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.6329813	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.6641412	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.6952565	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.7298825	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.7734115	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.8138971	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.8444235	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.8760233	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.9051971	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.9374857	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495925.9809232	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.0262418	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.0623436	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.0897193	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.1196427	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.152823	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.1947846	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.2238286	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.2571878	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.2861009	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.3176565	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.3505204	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.409061	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.4357386	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.464381	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.4971542	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.5259852	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.5584953	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.5921993	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.6261387	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.6582336	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.6885183	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.7195904	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.7515016	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.7865129	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.8213942	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.852855	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.883764	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.912447	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495926.9469981	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.0025716	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.0362093	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.0703747	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.0994706	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.1348763	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.1658652	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.2245722	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.2524512	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.2851055	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.315495	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.348491	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.3858957	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.415473	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.4456346	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.4784482	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.5096936	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.5420892	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.5736377	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.0	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.605821	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.6382148	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.669641	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.7000177	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.7331421	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.7659314	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.7995398	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.8355784	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.8630896	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.8948727	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.9269364	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495927.957105	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495928.017274	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-6.9	-0.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495928.0509603	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495928.0820715	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.2	-0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495928.112753	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.3	0.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495928.144809	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
-7.1									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550495928.18288	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	78	90	90						225	307	392					
