aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-8.4	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.1725698	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.4	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.2022014	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.4	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.2334452	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.3	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.265904	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.2	1.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.2957807	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.2	1.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.3304882	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.4	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.3681214	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.4	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.404654	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.4	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.4322295	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
-8.3	1.1								0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550496073.4681437	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	88	91	80						211	294	378					
