aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-6.7	0.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.6839595	32.66	36.6	37.34	38.15	31.22	36.91	25.0	25.0	59	67	64						201	256	314					
-6.7	0.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.715709	32.76	36.57	37.31	38.13	31.3	36.89	25.0	25.0	59	67	64						201	256	314					
-6.7	0.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.746249	32.74	36.52	37.27	38.09	31.15	36.81	25.0	25.0	59	67	64						201	256	314					
-6.7	0.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.777746	32.71	36.49	37.24	38.07	31.21	36.83	25.0	25.0	59	67	64						201	256	314					
-6.8	0.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.8085308	32.67	36.45	37.17	38.04	31.19	36.9	25.0	25.0	59	67	64						201	256	314					
-6.7	0.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.84058	32.65	36.42	37.16	38.02	31.06	36.9	25.0	25.0	59	67	64						201	256	314					
-6.7	0.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.8715968	32.48	36.39	37.13	38.0	31.14	36.74	25.0	25.0	59	67	64						201	256	314					
-6.7	0.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.9031885	32.52	36.34	37.09	37.97	31.11	36.73	25.0	25.0	59	67	64						201	256	314					
-6.7	0.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.9355166	32.54	36.33	37.07	37.96	31.1	36.84	25.0	25.0	59	67	64						201	256	314					
-6.7	0.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581887.9639957	32.47	36.29	37.03	37.92	31.06	36.82	25.0	25.0	59	67	64						201	256	314					
