aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-7.7	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581584.8576736	25.0	25.0	25.0	25.0	25.0	26.77	32.73	31.42	58	67	61						231	286	345					
-7.7	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581584.8879178	25.0	25.0	25.0	25.0	25.0	26.79	32.71	31.44	58	67	61						231	286	345					
-7.6	-4.6								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581584.9367468	25.0	25.0	25.0	25.0	25.0	26.73	32.67	31.41	58	67	61						231	286	345					
-7.6	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581584.9694226	25.0	25.0	25.0	25.0	25.0	26.72	32.65	31.36	58	67	61						231	286	345					
-7.6	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581585.002882	25.0	25.0	25.0	25.0	25.0	26.69	32.63	31.34	58	67	61						231	286	345					
-7.6	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581585.033614	25.0	25.0	25.0	25.0	25.0	26.85	32.61	31.41	58	67	61						231	286	345					
-7.6	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581585.0649981	25.0	25.0	25.0	25.0	25.0	26.68	32.59	31.31	58	67	61						231	286	345					
-7.6	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581585.0981333	25.0	25.0	25.0	25.0	25.0	26.78	32.76	31.28	58	67	61						231	286	345					
-7.7	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581585.1421242	25.0	25.0	25.0	25.0	25.0	26.64	32.75	31.29	58	67	61						231	286	345					
-7.7	-4.5								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550581585.1758168	25.0	25.0	25.0	25.0	25.0	26.62	32.56	31.23	58	67	61						231	286	345					
