aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.5568528	29.72	35.88	32.74	36.26	30.81	34.92	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.5888956	29.69	35.82	32.7	36.23	30.66	34.94	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.6251607	29.66	35.79	32.67	36.21	30.59	34.89	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.6891203	29.58	35.64	32.58	36.14	30.63	34.85	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.727256	29.56	35.75	32.55	36.12	30.69	34.83	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.761273	29.52	35.73	32.51	36.09	30.65	34.81	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.7875795	29.5	35.72	32.48	36.07	30.39	34.79	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.8202834	29.46	35.55	32.43	36.04	30.44	34.77	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.8524487	29.44	35.64	32.42	36.02	30.43	34.76	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.8817964	29.41	35.65	32.51	35.99	30.35	34.74	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.9136798	29.38	35.5	32.5	36.15	30.55	34.77	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.94808	29.34	35.6	32.32	35.95	30.56	34.72	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589522.9757957	29.32	35.41	32.32	35.93	30.54	34.7	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.0050442	29.29	35.37	32.26	35.9	30.35	34.68	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.0357847	29.25	35.53	32.21	35.87	30.31	34.66	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.0676465	29.23	35.52	32.18	35.85	30.29	34.64	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.100082	29.2	35.5	32.15	35.83	30.27	34.63	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.1410904	29.16	35.3	32.1	35.84	30.24	34.65	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.1733725	29.14	35.44	32.21	35.82	30.22	34.6	25.0	25.0	86	59							204	252						
-5.6									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589523.1975782	29.11	35.43	32.06	35.9	30.34	34.72	25.0	25.0	86	59							204	252						
