aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.2351136	33.47	37.1	36.98	38.25	32.19	36.91	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.268773	33.45	37.09	37.06	38.23	32.26	37.03	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.2986784	33.41	37.25	37.03	38.2	32.14	37.06	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.3336842	33.38	37.06	37.0	38.18	32.24	37.04	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.3597882	33.36	36.98	36.97	38.16	32.2	37.03	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.3905048	33.32	36.92	36.93	37.95	32.01	37.01	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.4227273	33.29	37.08	36.9	37.9	32.02	36.99	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.459447	33.24	37.08	36.85	37.87	31.95	36.97	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.4914985	33.22	36.95	36.82	37.87	32.1	36.96	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.5317051	33.17	36.72	36.76	37.8	32.06	36.93	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.5658796	33.11	36.64	36.73	37.76	31.92	36.91	25.0	25.0	607			497		572			46			110		185		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550589688.5996163	33.12	36.64	36.7	37.73	31.88	36.9	25.0	25.0	607			497		572			46			110		185		
