aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.3624854	25.0	25.0	25.0	25.0	25.0	27.1	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.396773	25.0	25.0	25.0	25.0	25.0	27.21	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.4233606	25.0	25.0	25.0	25.0	25.0	27.2	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.4577584	25.0	25.0	25.0	25.0	25.0	27.36	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.492683	25.0	25.0	25.0	25.0	25.0	27.37	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.5220315	25.0	25.0	25.0	25.0	25.0	27.36	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.562247	25.0	25.0	25.0	25.0	25.0	27.34	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.5934646	25.0	25.0	25.0	25.0	25.0	27.33	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.6249514	25.0	25.0	25.0	25.0	25.0	27.33	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.664824	25.0	25.0	25.0	25.0	25.0	27.31	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.6940646	25.0	25.0	25.0	25.0	25.0	27.31	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.727717	25.0	25.0	25.0	25.0	25.0	26.98	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.758442	25.0	25.0	25.0	25.0	25.0	26.93	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.7893934	25.0	25.0	25.0	25.0	25.0	27.05	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.820545	25.0	25.0	25.0	25.0	25.0	27.23	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.8514378	25.0	25.0	25.0	25.0	25.0	27.23	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.890046	25.0	25.0	25.0	25.0	25.0	27.21	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.9242089	25.0	25.0	25.0	25.0	25.0	27.19	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.9606733	25.0	25.0	25.0	25.0	25.0	27.04	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588789.9920058	25.0	25.0	25.0	25.0	25.0	27.16	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.021988	25.0	25.0	25.0	25.0	25.0	27.15	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.055091	25.0	25.0	25.0	25.0	25.0	27.15	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.1052182	25.0	25.0	25.0	25.0	25.0	26.99	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.141262	25.0	25.0	25.0	25.0	25.0	27.07	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.1725636	25.0	25.0	25.0	25.0	25.0	27.09	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.2020113	25.0	25.0	25.0	25.0	25.0	27.09	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.2336798	25.0	25.0	25.0	25.0	25.0	27.09	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.264611	25.0	25.0	25.0	25.0	25.0	27.06	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.2996385	25.0	25.0	25.0	25.0	25.0	27.06	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.3347642	25.0	25.0	25.0	25.0	25.0	27.06	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.366386	25.0	25.0	25.0	25.0	25.0	26.87	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.3956237	25.0	25.0	25.0	25.0	25.0	26.97	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.4274595	25.0	25.0	25.0	25.0	25.0	27.01	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.460825	25.0	25.0	25.0	25.0	25.0	26.87	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.4996684	25.0	25.0	25.0	25.0	25.0	26.95	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.5412798	25.0	25.0	25.0	25.0	25.0	26.97	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.5700915	25.0	25.0	25.0	25.0	25.0	26.96	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.600966	25.0	25.0	25.0	25.0	25.0	26.95	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.6322987	25.0	25.0	25.0	25.0	25.0	26.8	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.664935	25.0	25.0	25.0	25.0	25.0	26.92	25.0	25.0						61								316		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550588790.713829	25.0	25.0	25.0	25.0	25.0	26.91	25.0	25.0						61								316		
