aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.708457	28.98	32.46	32.68	30.19	25.41	34.55	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.7393088	28.95	32.47	32.65	30.17	25.43	34.53	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.772104	28.91	32.44	32.61	30.13	25.36	34.51	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.8016825	28.89	32.42	32.58	30.1	25.33	34.5	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.8314939	28.86	32.39	32.55	30.07	25.31	34.48	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.879935	28.81	32.35	32.49	30.01	25.26	34.28	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.912876	28.78	32.15	32.46	29.99	25.23	34.24	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.9456587	28.84	32.12	32.41	29.95	25.19	34.2	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952815.977684	28.84	32.1	32.37	29.9	25.15	34.17	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.010478	28.82	32.06	32.34	29.88	25.13	34.15	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.042923	28.8	32.17	32.31	29.85	25.1	34.13	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.0750659	28.64	32.15	32.26	29.81	25.06	34.29	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.1136684	28.6	32.08	32.22	29.77	25.03	34.27	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.1404977	28.57	32.05	32.19	29.74	25.0	34.26	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.169924	28.55	32.02	32.16	29.71	25.0	34.24	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.201856	28.51	32.02	32.11	29.71	25.0	34.22	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.2343836	28.48	31.96	32.09	29.65	25.0	34.07	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.269738	28.44	31.79	32.04	29.62	25.0	33.98	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.303321	28.42	31.92	32.01	29.58	25.0	33.96	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.3400393	28.38	31.88	31.97	29.54	25.03	34.07	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.3680222	28.36	31.87	31.94	29.51	25.0	34.1	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.3957028	28.33	31.85	31.91	29.48	25.0	34.09	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.4277034	28.29	31.68	31.86	29.44	25.0	34.07	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.4702208	28.25	31.76	31.82	29.4	25.0	34.05	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.5057411	28.22	31.74	31.77	29.36	25.0	34.03	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.5396032	28.19	31.68	31.74	29.33	25.0	34.01	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.5680518	28.16	31.68	31.71	29.3	25.0	34.0	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.607453	28.13	31.61	31.67	29.26	25.0	33.97	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.6400535	28.09	31.61	31.62	29.22	25.0	33.76	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.6728027	28.06	31.59	31.59	29.19	25.0	33.73	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.706243	28.02	31.54	31.59	29.15	25.0	33.84	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.7368371	28.0	31.49	31.53	29.12	25.0	34.01	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.7663498	27.96	31.44	31.48	29.08	25.0	33.86	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.7978332	27.93	31.46	31.45	29.05	25.0	33.67	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.8297477	27.91	31.3	31.42	29.03	25.0	33.63	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.8654957	27.87	31.34	31.37	28.99	25.0	33.59	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.8968856	27.85	31.33	31.34	28.96	25.0	33.71	25.0	25.0						161								359		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952816.9306395	27.81	31.33	31.3	28.92	25.0	33.74	25.0	25.0						161								359		
