aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.0674174	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.0982573	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.1287742	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.1624866	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.1949127	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.2308695	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.260109	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.2955773	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.3202	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.3539183	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.386788	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.4291413	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.4640133	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.4927335	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.5246475	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.5568173	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.5897448	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.6203687	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.653022	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.6840193	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.7170274	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.744596	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.7799816	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.8143923	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.8486285	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.8819058	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.9094856	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.940941	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952602.9753273	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.0077555	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.0389051	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.0707564	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.0991912	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.1323586	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.1630936	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.1943538	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550952603.2358024	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0						85								205		
