aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-9.0	-2.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.1935883	33.35	35.63	35.69	38.06	31.59	35.72	28.74	31.82	19	34	33						200	256	316					
-9.0	-2.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.223269	33.33	35.47	35.66	38.04	31.58	35.7	28.72	31.81	19	34	33						200	255	316					
-9.0	-2.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.2539856	33.3	35.51	35.62	38.02	31.55	35.67	28.55	31.79	19	34	33						200	255	316					
-9.0	-2.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.2886515	33.27	35.53	35.59	38.18	31.53	35.65	28.66	31.78	19	34	33						200	256	316					
-9.0	-2.4								0	0	0	0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.329136	33.24	35.49	35.54	38.14	31.5	35.62	28.63	31.76	19	34	33						200	256	316					
-8.9	-2.2								0	0	0	0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.354467	33.17	35.47	35.5	38.17	31.33	35.58	28.58	31.74	19	34	33						200	256	316					
-9.0	-2.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.3839629	33.18	35.44	35.47	37.81	31.26	35.56	28.59	31.73	19	34	33						200	255	316					
-9.0	-2.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.4147692	33.12	35.39	35.43	37.93	31.21	35.67	28.53	31.71	19	34	33						200	255	316					
-9.0	-2.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.4460921	33.1	35.24	35.4	37.92	31.19	35.53	28.55	31.7	19	34	33						200	255	316					
-9.0	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.4810927	33.09	35.34	35.35	37.9	31.15	35.52	28.53	31.68	19	34	33						200	256	316					
-9.0	-2.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.517515	33.06	35.31	35.31	37.88	31.11	35.45	28.5	31.66	19	34	33						200	256	316					
-8.9	-2.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.5521169	33.04	35.28	35.28	37.86	31.09	35.43	28.49	31.53	19	34	33						200	256	316					
-8.9	-2.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.578864	33.02	35.26	35.25	37.85	31.24	35.41	28.47	31.5	19	34	33						200	256	316					
-9.0	-2.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553248599.6100502	32.87	35.23	35.2	37.63	31.23	35.38	28.43	31.47	19	34	33						200	256	316					
