aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.668301	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.6951773	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.7262888	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.7575767	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.7	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.7888985	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.7	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.8191986	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.7	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.8510087	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.7	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.8876302	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.7								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.9202037	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.9569273	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.7	0.7								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174371.9879699	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.0200446	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.0533605	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.0895314	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.1405559	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.170764	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.2043061	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.2336903	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.265191	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.9								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.3003373	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.334015	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.369896	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.6	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.4001946	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.5	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.4395733	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.8	0.7								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.4662986	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.5	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.4977753	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.5	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.5345953	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.5	0.8								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.5711665	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-8.5	0.6								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.6020274	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
-9.0	1.0								0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553174372.6335793	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	17	33	35						178	234	293					
