aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.4738672	27.79	34.74	33.63	34.8	28.61	33.5	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.506868	27.74	34.72	33.64	34.77	28.57	33.62	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.5361586	27.71	34.56	33.62	34.71	28.55	33.61	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.5749574	27.66	34.47	33.59	34.58	28.51	33.57	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.6003397	27.63	34.45	33.56	34.68	28.48	33.53	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.6457784	27.56	34.4	33.52	34.64	28.57	33.53	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.6893015	27.52	34.37	33.48	34.58	28.4	33.51	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.717035	27.48	34.34	33.46	34.59	28.37	33.36	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.7524128	27.44	34.31	33.42	34.56	28.33	33.27	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.798744	27.39	34.27	33.25	34.51	28.47	33.43	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.8370624	27.34	34.24	33.33	34.48	28.46	33.28	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.8656754	27.29	34.4	33.17	34.32	28.43	33.37	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.8988004	27.26	34.38	33.1	34.42	28.41	33.33	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.9279473	27.23	34.37	33.06	34.37	28.39	33.35	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258776.9703255	27.17	34.14	33.04	34.37	28.36	33.31	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258777.0024474	27.12	34.1	33.15	34.43	28.13	33.3	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258777.0572734	27.25	34.23	33.11	34.49	28.08	33.23	25.0	25.0				514								343				
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553258777.1021576	27.21	34.22	33.08	34.43	28.04	33.1	25.0	25.0				514								343				
