aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-5.4	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.7063043	34.74	40.02	39.71	40.67	34.04	38.58	25.0	25.0	20	34	37						176	232	292					
-5.4	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.7388008	34.7	39.98	39.68	40.65	34.02	38.44	25.0	25.0	20	34	37						176	232	292					
-5.5	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.7691858	34.64	39.94	39.64	40.62	33.98	38.58	25.0	25.0	20	34	37						176	232	292					
-5.5	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.8022044	34.62	39.96	39.61	40.64	33.95	38.57	25.0	25.0	20	34	37						176	232	292					
-5.5									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.837965	34.57	40.07	39.56	40.71	33.92	38.55	25.0	25.0	20	34	37						176	232	292					
-5.5	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.8706958	34.52	39.88	39.52	40.54	33.88	38.39	25.0	25.0	20	34	37						176	232	292					
-5.6	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.904953	34.51	39.86	39.5	40.53	33.87	38.35	25.0	25.0	20	34	37						176	232	292					
-5.6	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.931159	34.46	39.83	39.46	40.5	33.83	38.44	25.0	25.0	20	34	37						176	232	292					
-5.6	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.9625227	34.43	39.8	39.43	40.48	33.8	38.47	25.0	25.0	20	34	37						176	232	292					
-5.6	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190550.997457	34.38	39.76	39.38	40.44	33.76	38.45	25.0	25.0	20	34	37						176	232	292					
-5.6	0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190551.0271196	34.35	39.74	39.35	40.42	33.74	38.44	25.0	25.0	20	34	37						176	232	292					
-5.3	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190551.0617456	34.3	39.7	39.31	40.39	33.7	38.41	25.0	25.0	21	34	37						176	232	292					
-5.3	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190551.095811	34.27	39.82	39.28	40.37	33.67	38.4	25.0	25.0	21	34	37						176	232	292					
-5.3	-0.1								0	0	0	0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190551.1263192	34.24	39.85	39.25	40.35	33.65	38.38	25.0	25.0	21	34	37						176	232	292					
-5.3	-0.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553190551.156866	34.19	39.84	39.21	40.32	33.61	38.36	25.0	25.0	21	34	37						176	232	292					
