aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-11.3	0.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.7654006	34.73	38.32	38.48	40.41	33.71	36.76	25.0	25.0	126	142	139	56		60			200	254	313	200		318		
-11.3	0.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.797197	34.67	38.32	38.45	40.39	33.65	36.74	25.0	25.0	126	142	139	56		60			200	254	313	200		318		
-11.5	0.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.8312848	34.63	38.31	38.6	40.55	33.61	36.85	25.0	25.0	127	143	140	57		61			200	254	312	199		318		
-11.5	0.7								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.8599982	34.74	38.15	38.59	40.41	33.58	36.71	25.0	25.0	127	143	140	57		61			200	254	312	199		318		
-11.8	1.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.8926501	34.56	38.06	38.56	40.52	33.54	36.66	25.0	25.0	128	143	141	57		62			199	253	311	199		317		
-10.9	0.3								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.922866	34.53	38.04	38.36	40.33	33.51	36.64	25.0	25.0	128	144	141	57		63			198	252	311	198		316		
-11.4	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.9527037	34.53	38.02	38.31	40.26	33.48	36.62	25.0	25.0	128	144	142	57		64			198	252	310	198		316		
-11.4	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179844.9846895	34.47	37.99	38.28	40.37	33.45	36.6	25.0	25.0	128	144	142	57		64			198	252	310	198		316		
-11.0	1.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.0187302	34.47	37.97	38.39	40.43	33.42	36.58	25.0	25.0	129	145	142	58		64			197	251	310	197		316		
-10.8	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.0508902	34.39	37.93	38.37	40.42	33.38	36.72	25.0	25.0	130	146	143	58		65			196	250	309	197		315		
-11.1	1.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.0847614	34.36	37.91	38.38	40.23	33.46	36.59	25.0	25.0	131	146	143	59		66			195	250	308	196		314		
-11.8	1.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.1158497	34.35	37.88	38.35	40.18	33.44	36.64	25.0	25.0	131	146	143	59		66			195	249	308	196		314		
-11.8	1.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.147378	34.4	37.98	38.31	39.99	33.4	36.52	25.0	25.0	131	146	143	59		66			195	249	308	196		314		
-11.8	1.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.1780348	34.25	38.01	38.29	40.11	33.26	36.5	25.0	25.0	131	146	143	59		66			195	249	308	196		314		
-10.8	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.209726	34.33	37.99	38.25	40.23	33.23	36.45	25.0	25.0	132	147	145	59		67			193	247	306	194		313		
-10.4	0.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.2409334	34.17	37.97	38.23	40.26	33.17	36.41	25.0	25.0	132	148	145	60		68			193	247	306	194		312		
-10.9	1.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.2938056	34.25	37.77	38.2	40.24	33.13	36.53	25.0	25.0	133	149	147	61		70			191	246	304	193		311		
-10.3	1.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.3252335	34.13	37.75	38.18	40.1	33.11	36.41	25.0	25.0	134	150	149	62		71			191	245	303	192		311		
-10.3	1.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.359421	34.25	37.72	38.16	40.03	33.08	36.4	25.0	25.0	134	150	149	62		71			191	245	303	192		311		
-10.1	1.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.3886628	34.11	37.71	38.15	39.88	33.07	36.36	25.0	25.0	136	152	151	64		73			189	244	302	191		310		
-10.5									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.4187622	34.06	37.69	38.14	40.1	33.05	36.48	25.0	25.0	139	157		69		77			188	242		190		308		
-10.4									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.4509037	34.03	37.68	38.13	40.15	33.04	36.5	25.0	25.0	142	159							188	242						
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.4908803	34.17	37.66	38.1	40.03	33.01	36.23	25.0	25.0		163								241						
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.5221796	34.17	37.65	38.09	39.98	32.99	36.28	25.0	25.0		163								241						
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.5528688	34.16	37.64	38.08	39.96	32.98	36.28	25.0	25.0		166								241						
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.5841677	34.15	37.62	38.07	39.95	32.96	36.27	25.0	25.0		166								241						
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.6145234	34.0	37.61	38.06	39.93	32.95	36.26	25.0	25.0		166								241						
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.6483636	33.95	37.6	38.04	39.92	32.93	36.25	25.0	25.0		166								241						
-9.8	2.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1553179845.6818378	33.9	37.58	38.02	39.9	32.9	36.27	25.0	25.0	161	180	182	93		100			184	237	295	185		303		
