aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
4.7	20.0	-22.4	22.4	13.0	2.0			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.2474632	32.51	36.06	35.95	38.06	33.1	35.69	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.6	19.7	-22.3	22.3	12.9	2.1			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.2846272	32.48	36.04	35.92	38.19	32.9	35.69	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.6	19.7	-22.3	22.3	12.9	2.1			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.3105626	32.43	36.01	35.85	38.16	32.85	35.65	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.5	19.8	-22.3	22.3	12.9	2.0			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.345043	32.4	35.98	35.82	38.15	32.82	35.64	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.5	19.8	-22.3	22.3	12.9	2.0			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.3735332	32.35	35.95	35.82	38.1	32.78	35.62	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.5	20.0	-22.3	22.3	12.9	1.9			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.4041035	32.32	35.92	35.8	38.09	32.76	35.61	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.5	20.0	-22.3	22.3	12.9	1.9			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.43702	32.29	35.9	35.78	38.07	32.73	35.56	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.8	19.8	-22.4	22.4	13.0	1.8			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.472807	32.24	35.87	35.74	37.9	32.87	35.43	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.8	19.8	-22.4	22.4	13.0	1.8			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.5083895	32.21	35.84	35.72	38.0	32.87	35.54	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.8	19.7	-22.4	22.4	12.9	1.8			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.5339606	32.16	35.81	35.68	37.98	32.84	35.53	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.8	19.7	-22.4	22.4	12.9	1.8			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.5637221	32.13	35.78	35.62	37.96	32.82	35.51	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.7	19.8	-22.4	22.4	13.0	2.0			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.5948563	32.08	35.75	35.62	37.93	32.79	35.35	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.8	19.8	-22.2	22.2	12.8	2.1			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.6292672	32.09	35.73	35.56	37.91	32.78	35.42	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
4.8	19.8	-22.2	22.2	12.8	2.1			1.8000000000000114	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513912.6615684	32.02	35.7	35.57	37.85	32.76	35.45	25.0	25.0	576	587	600	522	525	501			223	277	336	221	279	333		
