aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-11.3	-2.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.6162438	33.47	39.3	38.4	37.95	32.99	37.3	25.0	25.0	60	67	61						209	264	322					
-11.4	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.6585333	33.43	39.24	38.34	37.88	32.96	37.27	25.0	25.0	60	67	60						209	264	322					
-11.4	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.6790316	33.41	39.26	38.33	38.0	32.94	37.26	25.0	25.0	60	67	60						209	264	322					
-11.4	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.7113094	33.36	39.25	38.28	37.83	32.9	37.23	25.0	25.0	60	67	60						209	264	322					
-11.4	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.7442663	33.31	39.22	38.25	37.96	32.87	37.2	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.7831843	33.32	39.17	38.21	37.95	32.84	37.17	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.8169298	33.24	39.16	38.18	37.77	32.8	37.14	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.853293	33.24	39.01	38.27	37.69	32.76	37.11	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.8819752	33.2	39.1	38.15	37.81	32.75	37.1	25.0	25.0	60	67	60						209	264	322					
-11.4	-2.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.9120667	33.13	39.07	38.07	37.69	32.71	37.07	25.0	25.0	60	67	60						209	264	322					
-11.1	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.945352	33.09	39.08	38.03	37.79	32.68	37.05	25.0	25.0	60	67	61						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582453.9887495	33.04	38.92	37.98	37.63	32.64	37.01	25.0	25.0	60	67	60						209	264	322					
-11.3	-2.5								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.0158439	33.01	39.03	37.95	37.73	32.61	36.99	25.0	25.0	60	67	60						209	264	322					
-11.2	-3.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.0420892	32.97	38.88	37.92	37.54	32.59	36.96	25.0	25.0	60	67	60						209	264	322					
-11.2	-3.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.0746922	32.93	38.95	37.88	37.48	32.55	36.93	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.1105938	32.89	38.97	37.85	37.59	32.52	36.91	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.157867	32.85	38.94	37.79	37.57	32.47	36.87	25.0	25.0	60	67	60						209	264	322					
-11.5	-2.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.1923652	32.84	38.91	37.7	37.52	32.43	36.84	25.0	25.0	60	67	60						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.2219539	32.79	38.9	37.63	37.54	32.42	36.83	25.0	25.0	60	67	60						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.2531233	32.73	38.88	37.55	37.38	32.38	36.79	25.0	25.0	60	67	60						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.2835248	32.84	38.86	37.52	37.31	32.36	36.77	25.0	25.0	60	67	60						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.319412	32.68	38.84	37.6	37.27	32.33	36.75	25.0	25.0	60	67	60						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.3501284	32.62	38.78	37.61	37.37	32.29	36.72	25.0	25.0	60	67	60						209	264	322					
-11.4	-2.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.3816774	32.57	38.75	37.53	37.21	32.25	36.69	25.0	25.0	60	67	60						209	264	322					
-11.2	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.4156458	32.54	38.73	37.5	37.21	32.23	36.67	25.0	25.0	60	67	60						209	264	322					
-11.1	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.4436312	32.51	38.74	37.47	37.19	32.2	36.68	25.0	25.0	60	67	60						209	264	322					
-11.1	-2.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550582454.4765465	32.46	38.71	37.62	37.15	32.17	36.66	25.0	25.0	60	67	60						209	264	322					
