aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
-0.9	4.5	-2.4	2.4	15.8	-1.6			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.3439138	28.36	32.73	32.03	35.51	30.28	31.1	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.9	4.5	-2.4	2.4	15.8	-1.6			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.3763762	28.32	32.71	32.01	35.49	30.26	31.08	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.7	4.4	-2.5	2.5	15.7	-1.2			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.4080315	28.29	32.69	31.98	35.47	30.24	31.06	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.7	4.4	-2.5	2.5	15.7	-1.2			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.443022	28.4	32.5	31.96	35.45	30.05	31.04	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.8	4.5	-2.4	2.4	15.8	-1.2			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.4708643	28.24	32.46	31.94	35.43	30.0	31.02	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.8	4.5	-2.4	2.4	15.8	-1.2			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.502823	28.19	32.42	31.9	35.4	29.96	30.99	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.4	4.1	-2.8	2.8	15.8	-1.6			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.5418577	28.19	32.4	31.88	35.38	30.11	30.96	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.4	4.1	-2.8	2.8	15.8	-1.6			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.5704467	28.17	32.38	31.86	35.35	30.11	30.94	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.8	4.4	-2.4	2.4	15.8	-1.6			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.6025345	28.1	32.35	31.83	35.33	30.09	30.92	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
-0.8	4.4	-2.4	2.4	15.8	-1.6			6.300000000000011	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513355.6335554	28.05	32.32	31.8	35.26	30.07	31.07	25.0	25.0	155	162	164	82	93	92			215	270	329	221	278	337		
