aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
5.2	6.3	1.6	-1.6	8.4	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.1035378	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.4	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.1331723	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.4	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.1651497	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.1956873	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.3	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.2251518	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.2568376	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.3	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.2887053	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.3	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.3198469	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.4	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.3514395	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.385708	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.4148295	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.4	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.4448106	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.3	1.6	-1.6	8.4	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.4753697	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.3	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.509408	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.7	-1.7	8.3	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.5412493	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.5721736	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.6073065	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.637845	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.6676776	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
4.9	6.6	1.9	-1.9	8.4	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.6987576	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
4.9	6.6	1.9	-1.9	8.4	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.7323806	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.3	1.6	-1.6	8.4	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.7676382	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.8047073	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.8367426	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.7	-1.7	8.4	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.8674119	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.2	1.7	-1.7	8.4	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.8968437	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.2	1.6	-1.6	8.4	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.9286568	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905026.9665504	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.6	-1.6	8.3	6.2			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.0085416	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.8	5.7	1.1	-1.1	8.3	6.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.038285	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.8	5.7	1.1	-1.1	8.3	6.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.0687656	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.2	1.5	-1.5	8.5	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.0973551	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.1	1.5	-1.5	8.5	6.3			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.1282198	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.8	5.7	1.1	-1.1	8.3	6.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.1660004	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.8	5.7	1.1	-1.1	8.3	6.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.2057695	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.8	5.7	1.1	-1.1	8.3	6.2			359.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.2367582	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.1	1.6	-1.6	8.3	6.3			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.266259	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.1	6.4	1.6	-1.6	8.7	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.2965147	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.0	6.5	1.8	-1.8	8.5	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.3306122	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.0	6.5	1.8	-1.8	8.5	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.3684044	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.0	6.5	1.8	-1.8	8.5	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.4049764	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.1	6.1	1.5	-1.5	8.8	6.1			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.4363887	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.1	6.4	1.7	-1.7	8.6	5.8			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.467791	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	281	364		
5.2	6.4	2.0	-2.0	8.2	6.4			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.4986713	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.4	2.0	-2.0	8.2	6.4			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.5321808	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
5.2	6.4	2.0	-2.0	8.2	6.4			359.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1549905027.5691555	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	168	158	152	57	62	49			199	281	365	196	280	364		
