aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	p7	r0	r1	r2	r3	r4	r5	r6	r7	time	u0	u1	u2	u3	u4	u5	u6	u7	x0	x1	x2	x3	x4	x5	x6	x7	y0	y1	y2	y3	y4	y5	y6	y7
0.5	6.7	1.6	-1.6	11.3	-4.9			1.6000000000000227	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.4901736	29.47	35.07	34.66	36.02	28.55	34.59	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.5	6.7	1.6	-1.6	11.3	-4.9			1.6000000000000227	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.5258498	29.43	35.03	34.62	35.99	28.49	34.57	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.8	6.2	1.1	-1.1	11.2	-5.2			1.6000000000000227	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.5644164	29.36	34.98	34.57	35.91	28.53	34.54	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.6	6.1	1.1	-1.1	10.7	-5.2			1.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.5943577	29.33	34.96	34.37	35.92	28.53	34.39	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.6	6.1	1.1	-1.1	10.7	-5.2			1.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.6249096	29.28	34.93	34.31	35.89	28.5	34.32	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
1.1	6.4	1.1	-1.1	11.1	-5.3			1.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.654084	29.43	34.9	34.28	35.87	28.47	34.29	25.0	25.0	182	182	180	107	115	113			206	261	320	206	263	321		
1.2	6.3	1.2	-1.2	11.1	-4.7			1.6000000000000227	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.685524	29.24	34.88	34.39	35.85	28.45	34.26	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.7	6.0	1.0	-1.0	11.2	-5.4			1.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.7177734	29.18	34.84	34.41	35.82	28.41	34.41	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.7	6.0	1.0	-1.0	11.2	-5.4			1.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.7497416	29.19	34.82	34.38	35.79	28.38	34.41	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
0.7	6.1	1.1	-1.1	10.8	-5.3			1.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1550513443.7826395	29.12	34.79	34.17	35.76	28.34	34.39	25.0	25.0	182	182	181	107	115	113			206	261	320	206	263	321		
