aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		3.9	-3.9					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.1343176	30.03	32.77	25.0	33.58	30.77	34.05	25.0		155			214				1134		428			426				454
		3.9	-3.9					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.2450905	29.91	32.7	25.0	33.33	30.79	34.0	25.0		155			214				1134		428			426				454
		3.8	-3.8					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.3608935	29.85	32.67	25.0	33.29	30.49	33.96	25.0		155			214				1134		428			426				454
		3.8	-3.8					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.4713814	29.79	32.61	25.0	33.17	30.51	33.91	25.0		155			214				1134		428			426				454
		4.1	-4.1					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.5847075	29.71	32.51	25.0	33.1	30.43	33.87	25.0		155			214				1134		428			426				454
		4.1	-4.1					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.6924877	29.65	32.44	25.0	33.02	30.4	33.83	25.0		155			214				1134		428			426				454
		4.4	-4.4					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.7992067	29.57	32.37	25.0	32.94	30.38	33.79	25.0		155			214				1134		428			426				454
		4.4	-4.4					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706101.9050808	29.55	32.31	25.0	32.87	30.29	33.75	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.01265	29.43	32.24	25.0	32.79	30.19	33.7	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.1190948	29.22	32.17	25.0	32.7	29.98	33.66	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.2246697	29.29	32.11	25.0	32.67	30.31	33.62	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.3316174	29.21	32.04	25.0	32.56	30.06	33.37	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.439034	29.1	31.97	25.0	32.48	30.05	33.52	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.545315	29.2	31.92	25.0	32.41	29.97	33.48	25.0		155			214				1134		428			426				454
		3.8	-3.8					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.6531935	29.01	31.85	25.0	32.32	29.91	33.44	25.0		155			214				1134		428			426				454
		3.8	-3.8					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.7591305	28.94	31.79	25.0	32.25	29.93	33.4	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.867509	28.86	31.73	25.0	32.17	29.96	33.35	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706102.976736	28.8	31.66	25.0	32.1	29.79	33.31	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706103.0874264	28.74	31.62	25.0	32.05	29.89	33.28	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706103.1999822	28.71	31.58	25.0	32.01	29.72	33.26	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706103.3086083	28.67	31.55	25.0	32.1	29.68	33.22	25.0		155			214				1134		428			426				454
		3.8	-3.8					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706103.4194872	28.63	31.51	25.0	31.93	29.63	33.21	25.0		155			214				1134		428			426				454
		3.8	-3.8					176.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706103.5273645	28.59	31.48	25.0	31.89	29.62	33.19	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	1	0	0	1	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706103.6352837	64.69	46.97	25.0	64.66	58.4	33.14	25.0		155			214				1134		428			426				454
		4.3	-4.3					176.9	1	0	0	1	0.27	0.01	0.01	0.16	0.19	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706103.7420945	50.37	48.01	25.0	57.61	48.48	33.11	25.0		155			214				1134		428			426				454
		3.9	-3.9					176.9	1	0	0	1	0.33	0.04	0.01	0.24	0.23	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706103.8497028	42.03	47.33	25.0	50.52	43.94	33.07	25.0		155			214				1134		428			426				454
		3.9	-3.9					176.9	1	0	0	1	0.27	0.07	0.01	0.27	0.26	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706103.9641943	47.83	45.34	25.0	48.31	42.04	33.02	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	1	0	0	1	0.33	0.07	0.01	0.29	0.28	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.0741217	44.14	46.09	25.0	47.66	40.87	32.98	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	1	0	0	1	0.3	0.08	0.01	0.29	0.27	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.1836264	46.44	45.78	25.0	47.85	41.64	32.95	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	1	0	0	1	0.34	0.09	0.01	0.3	0.27	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.2938704	44.6	45.83	25.0	47.95	42.36	32.9	25.0		155			214				1134		428			426				454
		4.0	-4.0					176.8	1	0	0	1	0.33	0.1	0.01	0.31	0.29	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.4025495	46.69	45.83	25.0	48.18	41.5	32.86	25.0		155			214				1134		428			426				454
									1	0	0	1	0.35	0.11	0.01	0.31	0.29	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.5096414	44.39	46.02	25.0	48.0	42.47	32.83	25.0					212				1134					428				454
									1	0	0	1	0.35	0.11	0.01	0.32	0.3	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.6167672	46.27	45.75	25.0	48.18	41.7	32.78	25.0					212				1134					428				454
		-13.2	13.2					179.9	1	0	0	1	0.35	0.12	0.01	0.32	0.29	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.7234933	44.54	46.0	25.0	48.2	42.5	32.75	25.0		152			210				1134		429			429				454
		-13.2	13.2					179.9	1	0	0	1	0.36	0.12	0.01	0.33	0.3	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.8324535	45.92	45.99	25.0	48.19	41.66	32.7	25.0		152			210				1134		429			429				454
		-14.8	14.8					180.4	1	0	0	1	0.35	0.13	0.01	0.33	0.3	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706104.9406855	45.5	45.98	25.0	48.13	42.41	32.66	25.0		152			210				1134		429			429				454
		-14.8	14.8					180.4	1	0	0	1	0.38	0.13	0.01	0.33	0.31	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.048389	45.8	46.01	25.0	48.3	41.64	32.63	25.0		152			210				1134		429			429				454
		-17.8	17.8					181.0	1	0	0	1	0.35	0.13	0.01	0.34	0.31	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.1584322	46.28	46.05	25.0	48.29	42.29	32.58	25.0		151			209				1134		429			430				454
		-18.0	18.0					181.2	1	0	0	1	0.4	0.14	0.01	0.34	0.32	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.2650714	45.01	46.0	25.0	48.19	41.81	32.54	25.0		151			209				1134		429			430				454
		-18.0	18.0					181.2	1	0	0	1	0.36	0.14	0.01	0.34	0.31	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.3720345	46.31	46.13	25.0	48.41	42.19	32.51	25.0		151			209				1134		429			430				454
									1	0	0	1	0.4	0.15	0.01	0.35	0.32	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.4798043	44.45	46.02	25.0	48.23	41.76	32.46	25.0		150							1134		429							454
									1	0	0	1	0.36	0.15	0.01	0.35	0.31	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.586576	46.67	46.03	25.0	48.36	42.37	32.43	25.0		150							1134		429							454
		-20.4	20.4					181.9	1	0	0	1	0.41	0.15	0.01	0.35	0.33	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.6944869	45.01	46.3	25.0	48.42	42.04	32.39	25.0		150			208				1134		429			431				454
		-20.4	20.4					181.9	1	0	0	1	0.38	0.16	0.01	0.36	0.32	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565706105.8046336	46.26	45.84	25.0	48.27	41.97	32.35	25.0		150			208				1134		429			431				454
		-21.9	21.9					182.2	1	0	0	1	0.46	0.25	0.01	0.36	0.35	0.02	0.01	0.54	0.58	0.0	0.38	0.46	0.48	0	1565706105.9162934	53.14	73.01	25.0	48.24	50.38	71.82	25.0		149			207				1134		429			431				454
		-21.9	21.9					182.2	1	0	0	1	0.53	0.69	0.01	0.36	0.39	0.32	0.01	0.54	0.58	0.0	0.38	0.46	0.48	0	1565706106.0261981	45.74	33.25	25.0	48.58	47.54	51.49	25.0		149			207				1134		429			431				454
		-21.9	21.9					182.2	1	1	1	1	0.53	0.41	0.01	0.36	0.42	0.38	0.01	0.54	0.58	0.0	0.38	0.46	0.48	0	1565706106.132943	45.34	68.67	25.0	48.75	45.52	46.09	25.0		149			207				1134		429			431				454
		-21.9	21.9					182.2	1	1	1	1	0.52	0.67	0.01	0.36	0.44	0.39	0.01	0.54	0.58	0.0	0.38	0.46	0.48	0	1565706106.2403047	46.41	35.84	25.0	48.47	44.32	46.58	25.0		149			207				1134		429			431				454
		-22.8	22.8					182.2	1	1	0	0	0.52	0.45	0.01	0.36	0.45	0.39	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706106.35448	46.37	60.91	25.0	48.33	43.9	47.12	25.0		149			207				1134		429			431				454
		-22.8	22.8					182.2	1	1	0	0	0.52	0.57	0.09	0.02	0.45	0.38	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706106.4731014	46.53	47.93	75.0	44.18	43.43	48.63	25.0		149			207				1134		429			431				454
		-23.5	23.5					182.6	1	1	0	0	0.52	0.56	1.14	0.02	0.45	0.38	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706106.5802732	46.29	48.9	38.41	44.47	43.54	48.85	25.0		149			207				1134		429			431				454
		-23.5	23.5					182.6	1	1	0	0	0.53	0.55	0.54	0.02	0.45	0.4	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706106.6876533	46.31	49.62	68.79	44.2	43.38	48.07	25.0		149			207				1134		429			431				454
		-28.5	28.5					183.7	1	1	0	0	0.53	0.55	1.07	0.02	0.45	0.41	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706106.7974007	46.36	49.82	34.75	44.07	43.59	48.02	25.0		148			205				1134		429			432				454
		-28.5	28.5					183.7	1	1	0	0	0.53	0.56	0.67	0.02	0.45	0.42	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706106.9048872	46.28	49.82	63.15	43.96	43.62	47.69	25.0		148			205				1134		429			432				454
		-28.6	28.6					183.6	1	1	0	0	0.53	0.56	0.85	0.02	0.45	0.43	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.0153275	46.46	49.3	55.92	43.83	43.82	47.63	25.0		147			204				1134		429			432				454
		-27.1	27.1					183.7	1	1	0	0	0.53	0.56	0.76	0.01	0.45	0.43	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.1230586	46.22	49.41	59.87	43.87	43.63	48.08	25.0		147			204				1134		429			432				454
		-27.1	27.1					183.7	1	1	0	0	0.53	0.57	0.84	0.01	0.45	0.43	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.2366354	46.62	49.39	55.86	43.95	43.63	48.15	25.0		147			204				1134		429			432				454
									1	1	0	0	0.54	0.57	0.81	0.01	0.46	0.43	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.3446972	46.37	49.49	59.36	43.63	43.55	48.45	25.0		146							1134		430							454
									1	1	0	0	0.53	0.57	0.84	0.01	0.45	0.44	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.456716	46.52	49.4	56.25	43.56	43.67	48.22	25.0		146							1134		430							454
									1	1	0	0	0.54	0.57	0.86	0.01	0.46	0.44	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.5649774	46.31	49.29	57.84	43.45	43.52	48.17	25.0		146							1134		430							454
									1	1	0	0	0.53	0.57	0.86	0.01	0.45	0.44	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.672351	46.24	49.35	57.6	43.35	43.73	48.55	25.0		146							1134		430							454
									1	1	0	0	0.54	0.57	0.89	0.01	0.46	0.45	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.786021	46.29	49.58	56.93	43.41	43.64	48.4	25.0					205				1134					441				454
									1	1	1	1	0.53	0.57	0.88	0.01	0.46	0.45	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706107.8970068	46.45	49.42	58.04	43.28	43.64	48.17	25.0					205				1134					441				454
		69.3	-69.3					212.3	1	1	1	1	0.54	0.57	0.9	0.01	0.46	0.45	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706108.0101902	46.12	49.46	57.15	43.23	43.37	48.35	25.0		147			193				1134		429			463				454
		69.3	-69.3					212.3	0	0	1	1	0.53	0.57	0.91	0.01	0.46	0.46	0.01	0.54	0.58	0.99	0.0	0.46	0.48	0	1565706108.1265783	46.67	49.5	57.84	43.0	43.53	48.33	25.0		147			193				1134		429			463				454
									0	0	1	1	0.54	0.57	0.83	0.08	0.46	0.46	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.2368054	46.17	49.7	25.0	75.0	43.25	48.39	25.0		147							1134		429							454
									0	0	1	1	0.52	0.57	0.03	1.16	0.45	0.45	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.347306	47.69	50.18	45.66	37.02	44.53	49.46	25.0		147							1134		429							454
									0	0	1	1	0.54	0.58	0.05	0.75	0.45	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.458931	46.68	48.82	44.14	69.39	44.75	47.99	25.0		147							1134		429							454
									0	0	1	1	0.53	0.57	0.04	0.85	0.45	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.571272	47.32	49.53	44.35	58.11	44.73	47.6	25.0		147							1134		429							454
									0	0	1	1	0.54	0.57	0.03	0.9	0.45	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.681297	46.45	49.82	44.73	61.61	44.52	48.05	25.0		147							1134		429							454
									0	0	1	1	0.55	0.58	0.03	0.89	0.46	0.46	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.7916055	46.11	49.19	44.71	55.58	44.32	48.55	25.0		148							1134		429							454
									0	0	1	1	0.54	0.57	0.03	0.91	0.46	0.46	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706108.899046	46.7	49.64	44.78	59.15	43.43	49.22	25.0		148							1134		429							454
		64.7	-64.7					224.9	0	0	1	1	0.55	0.57	0.03	0.9	0.46	0.46	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.0072594	45.81	49.63	44.57	58.97	43.36	48.81	25.0		146			185				1134		425			469				454
		64.7	-64.7					224.9	0	0	1	1	0.53	0.57	0.02	0.99	0.46	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.1149106	46.94	49.92	44.78	55.29	43.33	48.65	25.0		146			185				1134		425			469				454
									0	0	1	1	0.54	0.58	0.02	0.92	0.46	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.2222953	46.34	49.8	44.59	58.52	43.48	48.29	25.0					182				1134					470				454
									0	0	1	1	0.54	0.58	0.02	0.96	0.46	0.48	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.3296437	46.54	49.49	44.54	55.81	43.68	47.97	25.0					182				1134					470				454
									0	0	1	1	0.54	0.58	0.02	0.95	0.46	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.437913	46.18	49.46	44.5	57.04	43.59	48.3	25.0					183				1134					470				454
									0	0	1	1	0.54	0.58	0.02	0.96	0.46	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.5443914	46.5	49.47	44.41	56.34	43.62	48.35	25.0					183				1134					470				454
									0	0	1	1	0.54	0.58	0.02	0.96	0.46	0.47	0.01	0.54	0.58	0.0	1	0.46	0.48	0	1565706109.6569412	46.19	49.51	44.26	56.69	43.68	48.41	25.0									1134									454
