aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		11.4	-11.4					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.157342	29.02	33.01	25.0	35.26	27.39	33.37	25.0		151			209				1158		429			434				72
		11.4	-11.4					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.2639716	28.95	33.16	25.0	35.25	27.52	33.33	25.0		151			209				1158		429			434				72
		11.3	-11.3					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.3711917	28.88	33.06	25.0	35.29	27.27	33.29	25.0		151			209				1158		429			434				72
		11.3	-11.3					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.4797559	28.81	32.85	25.0	35.28	27.19	33.45	25.0		151			209				1158		429			434				72
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.587689	28.73	32.78	25.0	35.04	27.25	33.22	25.0					209				1158					434				72
									0	0	0	0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.694524	28.65	32.97	25.0	34.98	27.07	33.17	25.0					209				1158					434				72
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.799953	28.59	32.99	25.0	34.95	26.99	33.14	25.0					209				1158					434				72
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705546.9059806	28.34	32.76	25.0	35.01	26.91	33.09	25.0					209				1158					434				72
		11.4	-11.4					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.0113032	28.42	32.58	25.0	34.98	26.85	33.05	25.0		151			209				1158		429			434				72
		11.4	-11.4					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.1182327	28.36	32.67	25.0	34.91	26.77	33.01	25.0		151			209				1158		429			434				72
		11.3	-11.3					184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.225469	28.29	32.48	25.0	34.73	26.71	32.97	25.0		151			209				1158		429			435				72
		11.5	-11.5					184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.3326397	28.22	32.39	25.0	34.75	26.63	32.93	25.0		151			209				1158		429			435				72
		11.5	-11.5					184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.4448056	27.94	32.33	25.0	34.62	26.55	32.88	25.0		151			209				1158		429			435				72
		11.4	-11.4					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.5508533	28.04	32.3	25.0	34.56	26.69	32.84	25.0		151			209				1158		429			434				72
		11.4	-11.4					184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.6570523	27.98	32.21	25.0	34.64	26.43	32.8	25.0		151			209				1158		429			434				72
		11.6	-11.6					184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705547.7645237	27.77	32.31	25.0	34.47	26.5	32.76	25.0		151			209				1158		429			434				72
