aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		5.7	-5.7					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.1368716	31.94	37.9	36.4	31.99	31.5	35.69	25.0		155			214				1122		426			431				791
		5.9	-5.9					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.2457705	31.66	37.86	36.3	31.92	31.24	35.77	25.0		155			214				1122		426			431				791
		5.1	-5.1					183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.3534493	31.6	37.78	36.27	31.87	31.19	35.64	25.0		155			214				1122		426			431				791
		5.1	-5.1					183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.459939	31.65	37.77	36.14	31.81	31.31	35.73	25.0		155			214				1122		426			431				791
		5.4	-5.4					183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.5693882	31.6	37.68	36.13	31.75	31.26	35.54	25.0		155			214				1122		426			431				791
		5.4	-5.4					183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.6769524	31.36	37.68	36.03	31.69	31.21	35.57	25.0		155			214				1122		426			431				791
		5.6	-5.6					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.7836504	31.44	37.62	35.86	31.64	31.16	35.54	25.0		155			214				1122		426			431				791
		5.6	-5.6					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.8897955	31.18	37.57	35.91	31.57	31.1	35.47	25.0		155			214				1122		426			431				791
		5.2	-5.2					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707031.9962535	31.25	37.52	35.66	31.51	31.04	35.43	25.0		155			214				1122		426			431				791
		5.2	-5.2					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707032.102882	31.03	37.47	35.75	31.46	30.86	35.42	25.0		155			214				1122		426			431				791
		5.9	-5.9					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707032.2085176	31.07	37.27	35.7	31.39	30.86	35.2	25.0		155			214				1122		426			431				791
		5.9	-5.9					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707032.3167887	30.86	37.36	35.62	31.33	30.86	35.19	25.0		155			214				1122		426			431				791
		5.7	-5.7					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707032.4234416	30.8	37.3	35.57	31.28	30.81	35.11	25.0		155			214				1122		426			431				791
		5.7	-5.7					183.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565707032.530451	30.7	37.27	35.45	31.22	30.59	35.24	25.0		155			214				1122		426			431				791
