aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		4.0	-4.0					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704980.7389216	27.19	32.93	31.34	28.69	29.71	32.23	25.0		153			211				394		429			431				56
		4.0	-4.0					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704980.8460479	27.07	32.67	31.43	28.8	29.47	32.17	25.0		153			211				394		429			431				56
		4.1	-4.1					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704980.9561715	27.18	32.61	31.37	28.74	29.56	32.11	25.0		153			211				394		429			431				56
		4.1	-4.1					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.0657558	26.91	32.52	31.3	28.67	29.4	32.05	25.0		153			211				394		429			431				56
		4.3	-4.3					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.173014	26.81	32.43	31.04	28.79	29.32	31.99	25.0		153			211				394		429			431				56
		4.3	-4.3					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.2795384	26.73	32.39	31.12	28.77	29.47	31.93	25.0		153			211				394		429			431				56
		4.1	-4.1					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.3864138	26.65	32.33	31.1	28.71	29.25	31.88	25.0		153			211				394		429			431				56
		4.1	-4.1					181.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.4931498	26.56	32.27	31.01	28.68	29.18	31.82	25.0		153			211				394		429			431				56
		4.4	-4.4					181.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.5996342	26.48	32.21	30.96	28.43	29.34	31.76	25.0		153			211				394		429			431				56
		4.4	-4.4					181.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704981.7061963	26.38	32.14	30.7	28.23	29.3	31.7	25.0		153			211				394		429			431				56
