aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		-24.2	24.2					187.2	1	0	0	1	0.41	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704403.988278	43.32	45.53	25.0	47.96	41.77	25.52	25.0		179			237				382		434			441				803
		-24.2	24.2					187.2	1	0	0	1	0.42	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.097795	46.14	46.03	25.0	47.97	41.9	25.34	25.0		179			237				382		434			441				803
		-24.9	24.9					187.2	1	0	0	1	0.4	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.2070048	44.21	45.5	25.0	47.87	41.91	25.43	25.0		179			237				382		433			441				802
		-25.2	25.2					187.4	1	0	0	1	0.43	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.3144855	47.31	45.62	25.0	47.88	42.14	25.4	25.0		179			237				382		433			441				802
		-25.2	25.2					187.4	1	0	0	1	0.4	0.17	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.4214342	44.21	45.93	25.0	48.0	41.81	25.55	25.0		179			237				382		433			441				802
		-25.0	25.0					187.5	1	0	0	1	0.43	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.5292015	47.41	45.17	25.0	47.95	42.1	25.4	25.0		179			237				382		433			441				802
		-25.0	25.0					187.5	1	0	0	1	0.41	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.6371086	44.65	46.14	25.0	47.82	41.71	25.37	25.0		179			237				382		433			441				802
		-25.3	25.3					187.4	1	0	0	1	0.43	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.744742	46.62	45.01	25.0	47.78	42.0	25.28	25.0		179			236						433			441				
		-25.3	25.3					187.4	1	0	0	1	0.41	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.8517292	44.22	46.72	25.0	47.98	41.83	25.22	25.0		179			236						433			441				
		-25.7	25.7					187.6	1	0	0	1	0.43	0.18	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704404.9597635	47.15	44.89	25.0	48.0	42.16	25.33	25.0		179			236				382		433			441				802
		-25.7	25.7					187.6	1	0	0	1	0.4	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704405.083799	46.44	46.11	25.0	47.83	42.07	25.12	25.0		179			236				382		433			441				802
		-25.7	25.7					187.6	1	0	0	1	0.44	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704405.191887	44.72	45.25	25.0	48.02	41.96	25.0	25.0		179			236				382		433			441				802
		-25.7	25.7					187.6	1	0	0	1	0.4	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704405.300376	46.96	46.32	25.0	48.0	42.08	25.06	25.0		179			236				382		433			441				802
		-25.4	25.4					187.7	1	0	0	1	0.44	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704405.4089367	44.26	45.27	25.0	47.86	41.98	25.02	25.0		178			236				382		433			441				802
		-25.4	25.4					187.7	1	0	0	1	0.39	0.17	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704405.5185738	47.35	46.18	25.0	48.04	41.84	25.17	25.0		178			236				382		433			441				802
