aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		5.1	-5.1					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706003.41307	25.73	30.85	30.39	28.99	25.0	32.42	25.0		152			210				1134		426			425				454
		5.1	-5.1					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706003.5195627	25.65	30.97	30.28	28.9	25.0	32.38	25.0		152			210				1134		426			425				454
		5.3	-5.3					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706003.627385	25.59	30.74	30.2	28.85	25.0	32.34	25.0		152			210				1134		426			425				454
		5.3	-5.3					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706003.7342057	25.51	30.8	30.11	28.78	25.0	32.3	25.0		152			210				1134		426			425				454
		5.3	-5.3					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706003.84076	25.38	30.6	30.22	28.72	25.0	32.29	25.0		152			210				1134		426			425				454
		5.3	-5.3					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706003.9472668	25.35	30.53	29.95	28.67	25.0	32.21	25.0		152			210				1134		426			425				454
		5.3	-5.3					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706004.0654004	25.27	30.46	30.07	28.6	25.0	32.16	25.0		152			210				1134		426			425				454
		5.3	-5.3					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706004.180611	25.2	30.4	29.79	28.57	25.0	32.12	25.0		152			210				1134		426			425				454
		4.8	-4.8					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706004.2905307	25.13	30.33	29.92	28.49	25.0	32.09	25.0		152			210				1134		426			425				454
		5.1	-5.1					178.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706004.400877	25.05	30.26	29.79	28.56	25.0	32.04	25.0		152			210				1134		426			425				454
