aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705458.9515357	25.19	30.28	25.0	28.83	26.6	25.0	25.0		154			212				1158		430			436				72
		10.3	-10.3					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.0579512	25.12	29.85	25.0	28.71	26.54	25.0	25.0		154			212				1158		430			436				72
		10.3	-10.3					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.1659482	25.05	30.01	25.0	28.67	26.69	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.2732944	25.0	29.93	25.0	28.72	26.46	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.3844333	25.0	30.0	25.0	28.55	26.4	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.4913213	25.0	29.96	25.0	28.64	26.35	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.6003892	25.0	29.94	25.0	28.39	26.51	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.7081277	25.0	29.87	25.0	28.36	26.33	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.8151445	25.0	29.84	25.0	28.26	26.23	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705459.9224114	25.0	29.44	25.0	28.37	26.17	25.0	25.0		154			212				1158		430			436				72
		10.9	-10.9					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.0284822	25.0	29.33	25.0	28.32	26.12	25.0	25.0		154			212				1158		430			436				72
		10.9	-10.9					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.1348605	25.0	29.59	25.0	28.24	26.06	25.0	25.0		154			212				1158		430			436				72
		10.9	-10.9					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.241934	25.0	29.45	25.0	28.19	26.02	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.3501012	25.0	29.14	25.0	28.12	25.96	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.4563897	25.0	29.38	25.0	28.04	25.9	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.563407	25.0	29.15	25.0	27.97	25.85	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.6704204	25.0	29.12	25.0	27.78	25.8	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.7780342	25.0	28.86	25.0	27.82	25.74	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.883964	25.0	29.02	25.0	27.78	25.69	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705460.9946318	25.0	28.9	25.0	27.53	25.63	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.1003864	25.0	28.87	25.0	27.65	25.59	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.2111495	25.0	28.59	25.0	27.57	25.53	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.3181899	25.0	28.53	25.0	27.31	25.47	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.4249814	25.0	28.57	25.0	27.3	25.42	25.0	25.0		154			212				1158		430			436				72
		11.4	-11.4					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.5321867	25.0	28.55	25.0	27.37	25.37	25.0	25.0		154			212				1158		430			436				72
		11.4	-11.4					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.639643	25.0	28.46	25.0	27.15	25.31	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.745385	25.0	28.61	25.0	27.24	25.26	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.8523057	25.0	28.17	25.0	27.15	25.2	25.0	25.0		154			212				1158		430			436				72
		11.1	-11.1					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705461.9587135	25.0	28.09	25.0	27.06	25.16	25.0	25.0		154			212				1158		430			436				72
		11.1	-11.1					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.0650418	25.0	28.35	25.0	27.04	25.24	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.1715236	25.0	28.2	25.0	26.98	25.12	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.2781403	25.0	28.04	25.0	26.88	25.19	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.3842192	25.0	27.86	25.0	26.86	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.4908824	25.0	27.79	25.0	26.65	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.5990071	25.0	27.7	25.0	26.71	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.7057848	25.0	28.06	25.0	26.62	25.0	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.8123229	25.0	27.96	25.0	26.61	25.0	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705462.9188354	25.0	27.82	25.0	26.4	25.0	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.0249581	25.0	27.55	25.0	26.47	25.0	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.131949	25.0	27.58	25.0	26.41	25.0	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.2386818	25.0	27.5	25.0	26.15	25.0	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.3452492	25.0	27.27	25.0	26.1	25.0	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.4512231	25.0	27.31	25.0	26.01	25.0	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.5578902	25.0	27.15	25.0	26.07	25.0	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.6639676	25.0	27.28	25.0	26.24	25.0	25.0	25.0		154			212				1158		430			436				72
		10.4	-10.4					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.7711582	25.0	27.29	25.0	25.96	25.0	25.0	25.0		154			212				1158		430			436				72
		10.5	-10.5					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.8781261	25.0	26.99	25.0	25.77	25.0	25.0	25.0		154			212				1158		430			436				72
		10.5	-10.5					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705463.9847329	25.0	26.88	25.0	25.72	25.0	25.0	25.0		154			212				1158		430			436				72
		11.3	-11.3					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.090179	25.0	26.77	25.0	25.62	25.0	25.0	25.0		154			212				1158		430			436				72
		11.3	-11.3					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.1969883	25.0	26.68	25.0	25.67	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.3033097	25.0	27.01	25.0	25.63	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.4101248	25.0	26.7	25.0	25.54	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.516314	25.0	26.53	25.0	25.53	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.6367555	25.0	26.55	25.0	25.42	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.7436748	25.0	26.35	25.0	25.4	25.0	25.0	25.0		154			212				1158		430			436				72
		10.9	-10.9					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.8514032	25.0	26.29	25.0	25.19	25.0	25.0	25.0		154			212				1158		430			436				72
		10.9	-10.9					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705464.9566278	25.0	26.24	25.0	25.23	25.0	25.0	25.0		154			212				1158		430			436				72
		11.1	-11.1					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.0631878	25.0	26.12	25.0	25.2	25.0	25.0	25.0		154			212				1158		430			436				72
		11.1	-11.1					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.1707735	25.0	26.04	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		11.3	-11.3					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.277358	25.0	25.97	25.0	25.08	25.0	25.0	25.0		154			212				1158		430			436				72
		11.3	-11.3					185.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.3841932	25.0	26.12	25.0	25.21	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.4907768	25.0	26.04	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.7	-10.7					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.5985887	25.0	25.95	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.7054296	25.0	25.7	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.6	-10.6					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.811381	25.0	25.62	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.5	-10.5					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705465.9192061	25.0	25.55	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.5	-10.5					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.0261796	25.0	25.59	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.1389244	25.0	25.38	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.2522566	25.0	25.47	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.366007	25.0	25.28	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.484539	25.0	25.14	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		11.0	-11.0					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.601877	25.0	25.1	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
		10.8	-10.8					185.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565705466.7142544	25.0	25.08	25.0	25.0	25.0	25.0	25.0		154			212				1158		430			436				72
