aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		1.3	-1.3					180.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.1831994	28.76	34.08	26.11	35.99	30.41	33.79	25.0		151			210				1123		425			426				790
		1.3	-1.3					180.0	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.289241	28.65	34.02	26.06	35.94	30.5	33.75	25.0		151			210				1123		425			426				790
		1.3	-1.3					180.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.395246	28.56	33.95	25.99	35.87	30.23	33.67	25.0		151			210				1123		425			426				790
		1.4	-1.4					180.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.5009441	28.48	33.89	25.93	36.02	30.03	33.67	25.0		151			210				1123		425			426				790
		1.4	-1.4					180.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.6077197	28.55	33.82	25.86	35.77	30.1	33.48	25.0		151			210				1123		425			426				790
		1.3	-1.3					179.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.7161653	28.54	33.75	25.79	35.71	30.1	33.53	25.0		151			210				1123		425			426				790
		1.3	-1.3					179.9	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.825942	28.24	33.69	25.73	35.65	30.09	33.53	25.0		151			210				1123		425			426				790
		1.3	-1.3					179.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706797.9324055	28.16	33.62	25.66	35.59	30.0	33.49	25.0		151			210				1123		425			426				790
		1.3	-1.3					179.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706798.0388815	28.07	33.56	25.46	35.54	29.96	33.45	25.0		151			210				1123		425			426				790
		0.8	-0.8					179.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706798.1505415	27.98	33.49	25.5	35.47	29.9	33.4	25.0		151			210				1123		425			426				790
		0.8	-0.8					179.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706798.2567756	28.09	33.43	25.46	35.42	29.87	33.37	25.0		151			210				1123		425			426				790
		1.3	-1.3					179.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565706798.3644116	28.02	33.39	25.27	35.38	29.67	33.34	25.0		151			210				1123		425			426				790
