aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		10.6	-10.6					183.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704917.9759989	25.0	31.28	25.0	34.4	25.56	32.89	25.0		155			213				394		431			436				56
		11.0	-11.0					184.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.0839505	25.0	31.34	25.0	34.35	25.51	32.89	25.0		155			213				394		431			436				56
		11.0	-11.0					184.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.2110283	25.0	31.25	25.0	34.31	25.38	32.81	25.0		155			213				394		431			436				56
		11.4	-11.4					184.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.3173714	25.0	31.05	25.0	34.03	25.17	32.76	25.0		155			213				394		431			436				56
		11.4	-11.4					184.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.4245865	25.0	31.07	25.0	34.2	25.11	32.72	25.0		155			213				394		431			436				56
		10.9	-10.9					183.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.5312672	25.0	30.87	25.0	34.16	25.1	32.68	25.0		155			213				394		431			436				56
		10.9	-10.9					183.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.6381216	25.0	31.02	25.0	34.13	25.0	32.65	25.0		155			213				394		431			436				56
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.7462273	25.0	30.98	25.0	33.87	25.0	32.6	25.0					213				394					436				56
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.853374	25.0	31.03	25.0	34.0	25.0	32.56	25.0					213				394					436				56
									0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1565704918.961331	25.0	30.83	25.0	33.8	25.0	32.52	25.0					213				394					436				56
