aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
		-35.6	35.6					183.2	1	0	0	1	0.42	0.18	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704318.5338743	44.54	46.72	25.0	48.0	41.78	25.0	25.0		170			226				379		433			436				805
		-35.6	35.6					183.2	1	0	0	1	0.42	0.19	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704318.6458514	46.37	45.24	25.0	48.0	42.18	25.0	25.0		170			226				379		433			436				805
		-35.6	35.6					183.2	1	0	0	1	0.42	0.17	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704318.7624917	44.76	46.8	25.0	48.0	41.73	25.0	25.0		170			226				379		433			436				805
		-35.2	35.2					183.1	1	0	0	1	0.42	0.19	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704318.8722236	46.31	44.93	25.0	47.85	42.4	25.0	25.0		170			226				379		433			435				805
		-35.2	35.2					183.1	1	0	0	1	0.42	0.17	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704318.982268	44.87	46.46	25.0	48.0	41.75	25.0	25.0		170			226				379		433			435				805
		-35.7	35.7					183.2	1	0	0	1	0.42	0.19	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704319.0920954	46.91	45.45	25.0	48.0	42.25	25.0	25.0		170			226				379		433			436				805
		-35.7	35.7					183.2	1	0	0	1	0.42	0.17	0.01	0.38	0.34	0.01	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704319.2022982	44.98	46.26	25.0	47.99	41.74	25.0	25.0		170			226				379		433			436				805
		-35.3	35.3					183.2	1	0	0	1	0.42	0.19	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704319.3121285	46.04	45.38	25.0	48.01	42.41	25.0	25.0		170			226						433			435				
		-35.3	35.3					183.2	1	0	0	1	0.42	0.17	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704319.42226	45.05	46.19	25.0	48.01	41.75	25.0	25.0		170			226						433			435				
		-35.5	35.5					183.2	1	0	0	1	0.42	0.18	0.01	0.38	0.34	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704319.532156	46.03	45.63	25.0	48.16	42.44	25.0	25.0		170			226				379		433			435				805
		-35.5	35.5					183.2	1	0	0	1	0.42	0.18	0.01	0.38	0.35	0.0	0.01	0.42	0.18	0.0	0.38	0.34	0.0	0	1565704319.6435552	45.03	45.78	25.0	47.82	41.75	25.0	25.0		170			226				379		433			435				805
