aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.68	-3.99	-4.4	4.4	2.89	16.36			6.36	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464710.4065988	31.77	36.79	34.91	34.94	29.68	35.6	25.0	100	112	121	13	21	15			360	626	548	469	616	537	459			948
-1.93	-3.62	-4.2	4.2	3.06	16.86			6.42	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464710.515723	31.65	36.55	34.82	34.86	29.6	35.64	25.0	99	113	122	13	21	15			360	625	548	469	616	537	459			948
-1.93	-3.62	-4.2	4.2	3.06	16.86			6.42	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464710.6229417	31.61	36.49	34.73	34.81	29.52	35.49	25.0	99	113	122	13	21	15			360	625	548	469	616	537	459			948
-1.93	-3.62	-4.2	4.2	3.06	16.86			6.42	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464710.73809	31.53	36.57	34.64	34.95	29.44	35.42	25.0	99	113	122	13	21	15			360	625	548	469	616	537	459			948
-1.93	-3.62	-4.2	4.2	3.06	16.86			6.42	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464710.844667	31.46	36.37	34.56	34.7	29.28	35.32	25.0	99	113	122	13	21	15			360	625	548	469	616	537	459			948
-1.93	-3.62	-4.2	4.2	3.06	16.86			6.42	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464710.9518468	31.36	36.44	34.48	34.64	29.28	35.28	25.0	99	113	122	13	21	15			360	625	548	469	616	537	459			948
-1.93	-3.62	-4.2	4.2	3.06	16.86			6.42	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464711.0596666	31.17	36.39	34.39	34.58	29.22	35.21	25.0	99	113	122	13	21	15			360	625	548	469	616	537	459			948
-2.41	-3.54	-4.51	4.51	4.16	15.39			6.14	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464711.1661725	31.2	36.18	34.3	34.52	29.15	35.17	25.0	99	113	122	13	21	16			360	625	548	469	616	538	459			948
-2.41	-3.54	-4.51	4.51	4.16	15.39			6.14	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464711.2720988	30.98	36.12	34.23	34.46	29.08	35.1	25.0	99	113	122	13	21	16			360	625	548	469	616	538	459			948
-2.41	-3.54	-4.51	4.51	4.16	15.39			6.14	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568464711.3790927	31.01	36.22	34.14	34.54	29.01	35.04	25.0	99	113	122	13	21	16			360	625	548	469	616	538	459			948
