aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465941.5400944	25.0	28.76	25.0	31.06	25.0	26.81	32.47	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465941.646086	25.0	28.72	25.0	30.99	25.0	26.79	32.4	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465941.7516546	25.0	28.65	25.0	30.8	25.0	26.74	32.52	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
-3.52	2.98	-4.81	4.81	3.26	16.23			2.88	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465941.8575726	25.0	28.59	25.0	30.75	25.0	26.82	32.29	109	118	128	23	26	16			710	622	543	465	617	538	460			954
-3.52	2.98	-4.81	4.81	3.26	16.23			2.88	0	0	0	0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465941.9640045	25.0	28.52	25.0	31.06	25.0	26.73	32.42	109	118	128	23	26	16			710	622	543	465	617	538	460			954
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.0711067	25.0	28.43	25.0	30.79	25.0	26.72	32.3	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.182002	25.0	28.39	25.0	30.66	25.0	26.54	32.17	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.290324	25.0	28.32	25.0	30.61	25.0	26.49	32.05	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.3968406	25.0	28.25	25.0	30.64	25.0	26.54	31.98	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.502688	25.0	28.19	25.0	30.81	25.0	26.49	31.92	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.6089008	25.0	28.12	25.0	30.73	25.0	26.35	32.06	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.7145398	25.0	28.06	25.0	30.63	25.0	26.26	31.81	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.821333	25.0	27.97	25.0	30.52	25.0	26.24	31.74	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465942.927512	25.0	27.92	25.0	30.45	25.0	26.15	31.67	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465943.0334854	25.0	27.85	25.0	30.41	25.0	26.08	31.94	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465943.1406934	25.0	27.79	25.0	30.24	25.0	26.19	31.56	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465943.2494562	25.0	27.72	25.0	30.3	25.0	26.13	31.56	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
-4.07	2.73	-5.34	5.34	3.9	14.77			2.61	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465943.354295	25.0	27.66	25.0	30.24	25.0	26.08	31.59	109	119	128	24	27	16			710	622	543	465	618	539	461			954
-4.07	2.73	-5.34	5.34	3.9	14.77			2.61	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465943.4603481	25.0	27.62	25.0	30.09	25.0	26.04	31.47	109	119	128	24	27	16			710	622	543	465	618	539	461			954
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568465943.566278	25.0	27.59	25.0	30.08	25.0	25.89	31.39	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
