aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
21.9	26.3	19.2	-19.2	1.0	47.0			95.2	0	1	1	0	0.41	0.3	0.42	0.01	0.01	0.56	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.2107327	44.96	46.85	48.38	41.37	36.59	49.41	43.42	831	887	947	840	896	957				510	497	504	415	439	416			
23.2	28.5	22.3	-22.3	-0.3	51.2			94.6	0	1	1	0	0.35	0.3	0.41	0.01	0.01	0.57	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.3180854	46.22	46.93	48.77	41.27	36.7	49.35	43.36	831	887	947	840	895	957				513	498	504	415	440	416			
23.2	28.5	22.3	-22.3	-0.3	51.2			94.6	0	1	1	0	0.42	0.3	0.42	0.01	0.01	0.57	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.4304209	43.42	47.09	48.34	41.37	36.6	49.39	43.29	831	887	947	840	895	957				513	498	504	415	440	416			
24.0	28.9	23.4	-23.4	-0.7	54.1			94.1	0	1	1	0	0.37	0.31	0.42	0.01	0.01	0.57	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.5385656	48.04	46.64	48.68	41.12	36.54	49.46	43.13	831	887	947	840	895	956				514	498	504	416	440	416			
24.0	28.9	23.4	-23.4	-0.7	54.1			94.1	0	1	1	0	0.41	0.3	0.42	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.649375	43.32	47.38	49.07	41.04	36.47	49.35	43.13	831	887	947	840	895	956				514	498	504	416	440	416			
25.1	29.3	23.6	-23.6	-0.7	54.5			93.8	0	1	1	0	0.39	0.32	0.43	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.7557535	47.07	46.59	48.22	41.0	36.28	49.37	43.12	832	887	947	840	895	956				515	498	504	416	440	416			
25.1	29.3	23.6	-23.6	-0.7	54.5			93.8	0	1	1	0	0.4	0.3	0.42	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.8627064	44.26	47.37	49.01	41.07	36.32	49.36	43.09	832	887	947	840	895	956				515	498	504	416	440	416			
25.0	30.3								0	1	1	0	0.4	0.31	0.43	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682872.9705198	46.14	46.78	48.46	40.83	36.25	49.5	42.97	832	887	947	840		956				516	499	504	416		416			
25.1	30.7	26.0	-26.0	-1.5	56.3			93.5	0	1	1	0	0.37	0.31	0.43	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.078415	45.77	46.93	48.52	40.76	36.04	49.53	42.9	832	887	947	840	895	956				517	499	504	416	440	416			
25.1	30.7	26.0	-26.0	-1.5	56.3			93.5	0	1	1	0	0.42	0.31	0.43	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.1857743	43.6	47.1	48.89	40.95	36.09	49.48	42.99	832	887	947	840	895	956				517	499	504	416	440	416			
25.0	31.5	27.1	-27.1	-1.7	58.5			93.4	0	1	1	0	0.37	0.32	0.43	0.01	0.01	0.58	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.2944868	47.35	47.0	48.7	40.72	36.03	49.45	42.8	832	887	947	840	894	956				518	499	504	416	441	416			
25.0	31.5	27.1	-27.1	-1.7	58.5			93.4	0	1	1	0	0.41	0.31	0.44	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.402436	43.2	47.02	48.3	40.68	35.9	49.37	42.71	832	887	947	840	894	956				518	499	504	416	441	416			
26.3	32.0	28.0	-28.0	-2.3	59.6			93.4	0	1	1	0	0.39	0.31	0.43	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.5098207	47.54	47.32	48.93	40.81	35.75	49.46	42.66	832	887	947	840	894	956				519	499	504	416	441	416			
26.3	32.0	28.0	-28.0	-2.3	59.6			93.4	0	1	1	0	0.39	0.32	0.43	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.618861	43.88	46.59	48.67	40.49	35.69	49.36	42.64	832	887	947	840	894	956				519	499	504	416	441	416			
26.8	31.8	28.2	-28.2	-2.3	60.9			93.3	0	1	1	0	0.41	0.31	0.44	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.7264726	45.03	47.68	48.36	40.49	35.71	49.44	42.41	832	887	947	840	894	956				519	499	504	415	441	416			
26.8	31.8	28.2	-28.2	-2.3	60.9			93.3	0	1	1	0	0.37	0.32	0.43	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.8358622	45.75	46.56	49.02	40.48	35.8	49.5	42.46	832	887	947	840	894	956				519	499	504	415	441	416			
26.5	31.9	27.9	-27.9	-1.9	61.4			93.2	0	1	1	0	0.43	0.31	0.43	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682873.9446778	43.43	47.23	48.65	40.24	35.62	49.46	42.28	833	887	947	840	894	956				519	499	504	416	441	416			
26.5	31.9	27.9	-27.9	-1.9	61.4			93.2	0	1	1	0	0.36	0.32	0.44	0.01	0.01	0.59	0.01	0.4	0.32	0.44	0.0	0.0	0.6	0	1567682874.0516589	48.23	46.84	48.47	40.19	35.57	49.53	42.37	833	887	947	840	894	956				519	499	504	416	441	416			
