aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.1	7.4	8.7	-8.7	7.9	7.3			187.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.2091858	34.3	38.79	38.73	25.0	32.23	36.97	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-0.1	7.4	8.7	-8.7	7.9	7.3			187.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.3185153	34.25	38.72	38.64	25.0	32.15	37.03	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-1.2	7.7	9.1	-9.1	7.7	7.6			187.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.431206	34.14	38.65	38.55	25.0	32.08	36.97	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-1.2	7.7	9.1	-9.1	7.7	7.6			187.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.54103	34.2	38.61	38.48	25.0	32.01	36.8	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-1.1	7.9	9.0	-9.0	7.7	7.4			187.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.6511767	34.11	38.53	38.39	25.0	31.93	36.84	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-1.1	7.9	9.0	-9.0	7.7	7.4			187.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.7612774	33.87	38.46	38.3	25.0	31.86	36.78	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-1.0	7.6	9.3	-9.3	7.2	7.8			187.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.8742304	33.81	38.39	38.23	25.0	31.78	36.58	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-1.0	7.6	9.3	-9.3	7.2	7.8			187.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092271.9803388	33.72	38.36	38.12	25.0	31.71	36.62	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-0.7	7.8	9.2	-9.2	7.8	7.5			187.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092272.0869627	33.59	38.26	38.04	25.0	31.63	36.57	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
-0.7	7.8	9.2	-9.2	7.8	7.5			187.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092272.1944036	33.67	38.2	37.95	25.0	31.55	36.5	25.0	126	121	118	203	177	184			1115	367	425	483	379	433	494			451
