aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
	3.8	4.8	-4.8	6.0	9.9			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683039.4476802	39.92	42.39	42.27	42.75	37.52	40.53	46.76		683	628	719	667	607			750		398	386	480	454	458			373
	3.7	4.7	-4.7	5.9	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683039.552781	39.83	42.31	42.37	42.7	37.26	40.44	46.7		683	628	719	667	607			750		398	386	480	454	458			373
	3.7	4.7	-4.7	5.9	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683039.6582434	39.71	42.22	42.07	42.71	37.11	40.33	46.63		683	628	719	667	607			750		398	386	480	454	458			373
	3.6	4.6	-4.6	5.8	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683039.7626576	39.6	42.13	41.95	42.59	36.98	40.23	46.56		683	628	719	667	607			750		398	386	480	454	458			373
	3.6	4.6	-4.6	5.8	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683039.8679605	39.5	41.97	42.09	42.54	37.04	40.18	46.5		683	628	719	667	607			750		398	386	480	454	458			373
	3.9	4.7	-4.7	6.1	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683039.97323	39.4	41.84	41.79	42.47	37.15	40.18	46.43		683	628	719	667	607			750		398	386	480	454	458			373
	3.9	4.7	-4.7	6.1	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.0776103	39.3	41.88	41.71	42.31	36.91	40.1	46.37		683	628	719	667	607			750		398	386	480	454	458			373
	3.5	4.8	-4.8	5.8	10.3			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.1821249	39.23	41.99	41.6	42.32	36.79	40.0	46.3		683	628	719	667	607			750		398	386	480	454	457			373
	3.5	4.8	-4.8	5.8	10.3			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.2878685	39.26	41.61	41.66	42.25	36.9	39.92	46.24		683	628	719	667	607			750		398	386	480	454	457			373
	3.8	4.6	-4.6	6.0	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.3943508	39.2	41.83	41.52	42.16	36.55	39.82	46.17		683	628	719	667	607			750		398	386	480	454	457			373
	3.8	4.6	-4.6	6.0	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.4996643	39.1	41.7	41.48	42.08	36.7	39.73	46.1		683	628	719	667	607			750		398	386	480	454	457			373
	3.6	4.6	-4.6	6.0	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.6059365	39.02	41.51	41.19	42.01	36.63	39.65	46.04		683	628	719	667	607			750		398	386	480	454	457			373
	3.6	4.6	-4.6	6.0	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.7109778	38.92	41.6	41.39	41.93	36.33	39.6	45.97		683	628	719	667	607			750		398	386	480	454	457			373
	3.8	4.7	-4.7	5.9	10.2			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.8169477	38.83	41.53	41.3	41.85	36.22	39.46	45.9		683	628	719	667	607			750		398	386	480	454	457			373
	3.8	4.7	-4.7	5.9	10.2			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683040.9213297	38.73	41.46	41.07	41.76	36.11	39.52	45.83		683	628	719	667	607			750		398	386	480	454	457			373
	4.2	5.0	-5.0	5.6	10.3			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.0272214	38.65	41.4	41.0	41.69	36.03	39.48	45.78		683	628	719	667	607			750		398	386	480	454	457			373
	4.2	5.0	-5.0	5.6	10.3			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.1324983	38.56	41.33	40.89	41.61	35.94	39.42	45.71		683	628	719	667	607			750		398	386	480	454	457			373
	4.0	4.8	-4.8	5.6	10.3			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.2432582	38.46	41.26	40.79	41.53	35.81	39.35	45.64		683	628	719	667	607			750		398	386	480	454	457			373
	4.0	4.8	-4.8	5.6	10.3			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.348002	38.38	41.2	40.7	41.65	35.92	39.28	45.58		683	628	719	667	607			750		398	386	480	454	457			373
	3.7	4.8	-4.8	5.4	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.4575691	38.29	41.07	40.74	41.4	35.64	39.21	45.51		683	628	719	667	608			750		398	386	480	454	458			373
	3.7	4.8	-4.8	5.4	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.562235	38.37	41.05	40.51	41.31	35.81	39.13	45.44		683	628	719	667	608			750		398	386	480	454	458			373
	3.7	4.8	-4.8	5.4	10.0			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.668253	38.12	40.98	40.41	41.23	35.66	39.05	45.37		683	628	719	667	608			750		398	386	480	454	458			373
	3.9	4.3	-4.3	6.0	9.6			285.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.7741265	38.23	40.92	40.32	41.3	35.4	38.99	45.22		683	628	719	667	608			750		398	386	480	454	458			373
	3.9	4.3	-4.3	6.0	9.6			285.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.8808813	38.0	40.85	40.22	41.12	35.48	38.91	45.24		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	4.8	-4.8	5.6	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683041.985065	37.9	40.79	40.41	41.02	35.26	38.85	45.18		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	4.8	-4.8	5.6	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.091106	37.93	40.72	40.1	40.93	35.3	38.78	45.11		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	4.8	-4.8	5.6	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.1969538	37.76	40.66	39.98	41.05	35.22	38.82	45.05		683	628	719	667	608			750		398	386	480	454	458			373
	3.8	4.9	-4.9	5.8	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.3056052	37.81	40.59	39.74	40.81	35.42	38.64	44.98		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	5.0	-5.0	5.6	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.4119318	37.6	40.52	39.86	41.08	35.37	38.66	44.91		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	5.0	-5.0	5.6	10.1			284.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.5163558	37.65	40.47	39.69	40.87	35.01	38.64	44.85		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	4.7	-4.7	6.0	9.8			285.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.622305	37.45	40.4	39.59	40.61	34.92	38.57	44.78		683	628	719	667	608			750		398	386	480	454	458			373
	4.0	4.7	-4.7	6.0	9.8			285.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567683042.7283313	37.5	40.13	39.49	40.54	34.83	38.49	44.71		683	628	719	667	608			750		398	386	480	454	458			373
