aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-3.4	6.9	3.0	-3.0	6.2	9.8			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092171.7168472	36.27	39.99	39.41	38.55	33.85	38.53	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.4	6.9	3.0	-3.0	6.2	9.8			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092171.8236687	36.18	39.92	39.45	38.67	33.78	38.33	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.5		3.2	-3.2	5.9	10.0			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092171.932256	36.08	39.85	39.36	38.45	33.67	38.42	25.0	127	117		196	173	184			1115	374	431		383	439	500			451
-3.5		3.2	-3.2	5.9	10.0			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.0397613	36.01	39.79	39.28	38.39	33.81	38.21	25.0	127	117		196	173	184			1115	374	431		383	439	500			451
-3.5	7.0	3.2	-3.2	6.2	9.9			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.146463	36.08	39.72	39.07	38.33	33.54	38.13	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.5	7.0	3.2	-3.2	6.2	9.9			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.2538593	35.82	39.69	39.09	38.26	33.49	38.05	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.6	7.2	3.2	-3.2	6.0				187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.360821	35.89	39.59	39.02	38.35	33.42	37.99	25.0	127	117	111	196	173				1115	374	431	489	383	439				451
-3.6	7.2	3.2	-3.2	6.0				187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.4676785	35.65	39.52	38.93	38.15	33.35	37.92	25.0	127	117	111	196	173				1115	374	431	489	383	439				451
-3.5	6.5	2.9	-2.9	6.2	9.8			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.5735564	35.59	39.46	38.85	38.1	33.26	37.98	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.5	6.5	2.9	-2.9	6.2	9.8			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.6810865	35.48	39.39	38.76	38.03	33.2	37.92	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.4	6.8	3.0	-3.0	6.2				187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.78777	35.58	39.34	38.67	38.11	33.13	37.83	25.0	127	117	111	196	173				1115	374	431	489	383	439				451
-3.4	6.8	3.0	-3.0	6.2				187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092172.895199	35.37	39.27	38.6	37.93	33.06	37.8	25.0	127	117	111	196	173				1115	374	431	489	383	439				451
-3.2	6.8	3.0	-3.0	6.2	9.8			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092173.0017269	35.23	39.2	38.51	37.86	32.99	37.74	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.2	6.8	3.0	-3.0	6.2	9.8			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092173.1102014	35.15	39.13	38.42	37.79	32.91	37.73	25.0	127	117	111	196	173	184			1115	374	431	489	383	439	500			451
-3.7		3.5	-3.5	5.8	10.3			187.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567092173.2166848	35.28	39.13	38.25	37.76	32.87	37.53	25.0	127	117		196	173	184			1115	374	431		383	439	500			451
