aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.4	4.4	9.4	-9.4	4.8	9.1			182.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693466.559145	26.65	32.64	29.43	30.66	26.99	32.41	25.0	122	120	121	197	177	190			1108	335	393	452	340	396	458			419
-0.4	4.0	8.9	-8.9		9.0			182.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693466.6668127	26.55	32.57	29.34	30.8	26.91	32.21	25.0	122	120	121		177	190			1108	335	393	452		396	458			419
-0.4	4.0	8.9	-8.9		9.0			182.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693466.7736278	26.45	32.31	29.25	30.69	26.83	32.18	25.0	122	120	121		177	190			1108	335	393	452		396	458			419
-0.4	4.1	8.9	-8.9	4.6	8.9			182.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693466.8826869	26.38	32.42	29.18	30.85	26.91	32.11	25.0	122	120	121	197	177	190			1108	335	393	452	340	396	458			419
-0.4	4.1	8.9	-8.9	4.6	8.9			182.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693466.989399	26.29	32.36	29.07	30.5	26.73	32.1	25.0	122	120	121	197	177	190			1108	335	393	452	340	396	458			419
	3.6	8.7	-8.7		8.9			182.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693467.0952997	26.19	32.29	29.17	30.43	26.63	31.98	25.0	122	120	121		177	190			1108	335	393	452		396	458			419
	3.6	8.7	-8.7		8.9			182.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693467.2020512	26.11	32.23	28.92	30.55	26.57	31.99	25.0	122	120	121		177	190			1108	335	393	452		396	458			419
-0.7	4.1	9.1	-9.1	4.9	8.8			182.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693467.309514	26.15	32.16	28.82	30.35	26.69	31.91	25.0	122	120	121	197	177	190			1108	335	393	452	340	396	458			419
-0.7	4.1	9.1	-9.1	4.9	8.8			182.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693467.415347	25.92	32.09	28.74	30.4	26.64	31.84	25.0	122	120	121	197	177	190			1108	335	393	452	340	396	458			419
-0.2	3.8	8.5	-8.5	4.5	9.0			182.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693467.522492	25.84	31.83	28.49	30.21	26.59	31.77	25.0	122	120	121	197	177	190			1108	335	393	452	340	396	458			419
