aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
	1.7	4.1	-4.1	9.5	5.1			183.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.115098	33.42	37.96	35.69	38.24	31.69	35.31	42.61	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
0.5	1.0	3.5	-3.5	9.2	5.0			183.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.220479	33.22	37.73	35.62	38.2	31.35	35.42	42.44	166	166	159	262	244	248			1464	278	356	433	285	362	441			381
0.5	1.0	3.5	-3.5	9.2	5.0			183.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.3269787	33.15	37.67	35.53	38.13	31.53	35.2	42.6	166	166	159	262	244	248			1464	278	356	433	285	362	441			381
-0.3	1.7	3.9	-3.9	9.3	5.0			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.4315476	32.92	37.63	35.44	38.07	31.19	35.13	42.71	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
-0.3	1.7	3.9	-3.9	9.3	5.0			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.5364559	32.82	37.72	35.36	38.02	31.29	35.08	42.34	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
-0.3	1.7	3.9	-3.9	9.3	5.0			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.640832	32.87	37.69	35.27	37.95	31.04	35.01	42.27	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
-0.3	1.7	3.9	-3.9	9.3	5.0			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.7466502	32.8	37.46	35.2	37.9	31.14	34.83	42.21	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
-0.2	1.7	4.2	-4.2	9.3	4.7			183.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.853344	32.84	37.44	35.11	37.84	31.23	34.95	42.1	166	166	159	262	244	248			1464	278	355	433	285	362	441			381
-0.2	1.7	4.2	-4.2	9.3	4.7			183.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694796.958563	32.69	37.51	35.02	37.77	31.02	35.01	42.09	166	166	159	262	244	248			1464	278	355	433	285	362	441			381
-0.6	2.2	4.6	-4.6	9.6	5.0			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694797.0657878	32.47	37.43	34.95	37.72	30.83	34.82	42.17	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
-0.6	2.2	4.6	-4.6	9.6	5.0			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694797.171095	32.48	37.24	34.86	37.66	30.82	34.69	42.12	166	166	159	261	244	248			1464	278	355	433	285	362	441			381
