aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
1.5	0.8	-0.1	0.1	6.4	7.8			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693647.661499	28.86	35.01	30.78	32.1	27.11	33.77	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.9	0.7	-0.5	0.5	6.5	7.7			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693647.76938	28.92	34.96	30.65	32.15	27.04	33.73	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.9	0.7	-0.5	0.5	6.5	7.7			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693647.8755023	28.73	34.91	30.56	31.96	27.03	33.82	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.3	1.5	0.3	-0.3	6.8	7.8			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693647.9821234	28.66	34.87	30.49	31.9	27.05	33.69	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.3	1.5	0.3	-0.3	6.8	7.8			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.0887368	28.58	34.82	30.56	32.07	27.05	33.61	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.6	1.0	-0.3	0.3	6.4	7.7			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.194888	28.61	34.77	30.34	31.85	26.86	33.57	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.6	1.0	-0.3	0.3	6.4	7.7			184.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.3022263	28.47	34.72	30.38	31.77	26.73	33.53	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.2	1.4	0.1	-0.1	6.5	7.8			184.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.4090395	28.39	34.68	30.21	31.84	26.84	33.49	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.2	1.4	0.1	-0.1	6.5	7.8			184.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.5150468	28.31	34.63	30.13	31.69	26.81	33.45	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.5	1.0			6.7	7.8			184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.622511	28.24	34.58	30.05	31.64	26.55	33.4	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
1.5	1.0			6.7	7.8			184.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567693648.7299893	28.17	34.54	29.85	31.77	26.68	33.5	25.0	122	117	114	190	173	189			1108	338	396	454	343	400	461			418
