aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-3.9	3.1	9.4	-9.4	5.7	6.0			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694624.9530146	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.9	3.1	9.4	-9.4	5.7	6.0			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.058551	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	3.2	8.9	-8.9	6.6	5.6			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.1660235	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	3.2	8.9	-8.9	6.6	5.6			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.2774856	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	3.2	8.9	-8.9	6.6	5.6			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.384233	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.6	3.0	8.9	-8.9	6.5	5.8			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.4919484	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	3.1	8.6	-8.6	6.5	5.4			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.5981677	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	3.1	8.6	-8.6	6.5	5.4			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.712801	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	2.8	9.1	-9.1	6.6	5.7			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.8205621	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.5	2.8	9.1	-9.1	6.6	5.7			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694625.9411871	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.6	3.3	9.0	-9.0	6.6	5.8			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694626.0477757	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
-3.6	3.3	9.0	-9.0	6.6	5.8			183.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1567694626.1620712	25.0	25.0	25.0	25.0	25.0	25.0	25.0	164	163	156	260	241	241			1418	277	354	432	285	361	440			380
