aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
				6.6					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116200.568593	36.32	40.04	40.13	35.73	33.69	39.16	25.0	105		118	24	22				709	476		321	472	394				801
				6.6					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116200.6792111	36.09	40.17	40.03	35.77	33.63	39.12	25.0	105		118	24	22				709	476		321	472	394				801
				6.7					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116200.7905586	36.14	39.9	39.96	35.74	33.58	39.04	25.0	105		118	24	22				709	477		321	472	394				801
				6.7					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116200.8986456	36.05	40.03	39.88	35.66	33.53	38.96	25.0	105		118	24	22				709	477		321	472	394				801
				6.7					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.006152	35.78	39.76	39.79	35.6	33.47	39.02	25.0	105		118	24	22				709	477		321	472	394				801
				6.9					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.1368093	35.82	39.79	39.68	35.51	33.4	38.95	25.0	105		118	24	22				709	477		321	472	394				801
				6.9					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.2436986	35.61	39.89	39.61	35.42	33.36	38.89	25.0	105		118	24	22				709	477		321	472	394				801
				6.9					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.35117	35.65	39.53	39.52	35.4	33.3	38.83	25.0	105		118	24	22				709	477		321	472	394				801
				6.9					0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.4575217	35.57	39.44	39.44	35.32	33.25	38.78	25.0	105		118	24	22				709	477		321	472	394				801
-5.4	12.1	3.1	-3.1	6.8				4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.5644486	35.44	39.39	39.35	35.27	33.19	38.58	25.0	105	108	118	24	22				709	476	400	321	472	394				801
-5.4	12.1	3.1	-3.1	6.8				4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.671826	35.25	39.28	39.28	35.22	33.15	38.65	25.0	105	108	118	24	22				709	476	400	321	472	394				801
-5.4	12.1	3.1	-3.1	6.8				4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.7800984	35.28	39.33	39.19	35.16	33.09	38.54	25.0	105	108	118	24	22				709	476	400	321	472	394				801
-5.4	12.1	3.1	-3.1	6.8				4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116201.8939335	35.21	39.32	39.12	35.07	33.04	38.52	25.0	105	108	118	24	22				709	476	400	321	472	394				801
-5.2	11.6	2.9	-2.9	6.6				4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116202.0027173	35.16	39.11	39.07	35.07	33.01	38.49	25.0	105	108	118	24	22				709	476	400	321	472	394				801
-5.2	11.6	2.9	-2.9	6.6				4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116202.1097484	35.08	39.23	39.03	35.0	32.98	38.46	25.0	105	108	118	24	22				709	476	400	321	472	394				801
-5.1	11.1	2.6	-2.6	6.8	8.5			4.0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568116202.2166305	35.06	39.03	38.98	35.0	32.95	38.56	25.0	105	108	118	24	22	12			709	476	400	321	472	394	316			801
