aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.3	5.1	6.5	-6.5	10.6	5.6			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115212.8149948	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.1	4.8	6.4	-6.4	10.4	5.9			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115212.9211922	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
-0.1	4.8	6.4	-6.4	10.4	5.9			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.0296466	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
-0.1	4.8	6.4	-6.4	10.4	5.9			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.1366584	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
	5.5	6.3	-6.3	10.8	5.1			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.243661	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
	5.5	6.3	-6.3	10.8	5.1			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.349192	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.2	5.5	6.7	-6.7	10.7	5.4			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.4629016	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.1	5.0	6.5	-6.5	10.4	5.8			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.5711315	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	326	403	481	332	408	487			822
-0.1	5.0	6.5	-6.5	10.4	5.8			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.6782281	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	326	403	481	332	408	487			822
-0.4	4.8	6.5	-6.5	10.4	5.7			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.7857726	25.0	25.0	25.0	25.0	25.0	25.0	25.0	161	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.4	4.8	6.5	-6.5	10.4	5.7			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.8923912	25.0	25.0	25.0	25.0	25.0	25.0	25.0	161	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.4	5.3	6.8	-6.8	10.6	5.8			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115213.9989684	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
-0.4	5.3	6.8	-6.8	10.6	5.8			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.1061258	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
-0.3	5.1	6.6	-6.6	10.3	5.9			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.2164454	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
-0.3	5.1	6.6	-6.6	10.3	5.9			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.324032	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			821
-0.3	5.5	6.3	-6.3	11.0	5.1			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.4345694	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.3	5.5	6.3	-6.3	11.0	5.1			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.5403583	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.3	5.5	6.3	-6.3	11.0	5.1			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.647822	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.3	5.5	6.3	-6.3	11.0	5.1			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.754298	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.3	5.4	6.2	-6.2	10.8	5.4			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.8705647	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.3	5.4	6.2	-6.2	10.8	5.4			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115214.9784439	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
-0.3	5.1	6.7	-6.7	10.3	5.5			183.6	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115215.0861118	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	164	158	263	243	248			1404	325	403	481	332	408	487			822
