aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.9	4.4	11.8	-11.8	9.1	6.4			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.2812178	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	334	409	488			
	3.7	10.8	-10.8	9.1	6.5			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.3883479	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	334	409	488			
	3.7	10.8	-10.8	9.1	6.5			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.495811	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	334	409	488			
-1.0	4.6	11.9	-11.9	9.2	6.5			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.602385	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-1.0	4.6	11.9	-11.9	9.2	6.5			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.708956	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-1.0	4.6	11.9	-11.9	9.2	6.5			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.8156593	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-1.2	4.9	12.0	-12.0	9.0	6.2			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115023.9225285	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-1.2	4.9	12.0	-12.0	9.0	6.2			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.0301383	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-1.2	4.9	12.0	-12.0	9.0	6.2			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.136804	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-1.2	4.9	12.0	-12.0	9.0	6.2			187.2	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.2440195	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	399	478	334	409	488			
-0.2	3.4	11.2	-11.2	8.8	6.6			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.3511026	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	334	409	488			
-0.2	3.4	11.2	-11.2	8.8	6.6			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.4572012	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	334	409	488			
-0.6	3.9	11.6	-11.6	8.9	6.5			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.5641694	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	163	157	268	242	238				322	400	478	334	409	488			
-0.6	3.9	11.6	-11.6	8.9	6.5			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.6718314	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	163	157	268	242	238				322	400	478	334	409	488			
-0.4	3.8	11.3	-11.3	9.4	6.4			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.7794285	25.0	25.0	25.0	25.0	25.0	25.0	25.0	162	163	156	268	242	238				322	400	478	335	409	488			
-0.5	4.0	11.7	-11.7	8.6	6.9			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.8862636	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	335	409	488			
-0.5	4.0	11.7	-11.7	8.6	6.9			186.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115024.9929616	25.0	25.0	25.0	25.0	25.0	25.0	25.0	163	163	156	268	242	238				322	400	478	335	409	488			
