aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-5.9	3.7	5.7	-5.7	7.3	9.1			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471486.4763489	36.21	40.02	40.16	38.53	33.87	38.2	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.2	5.5	-5.5	7.4	9.0			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471486.5853388	36.13	39.96	40.09	38.34	33.82	38.14	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	3.2	5.5	-5.5	7.4	9.0			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471486.691575	36.04	39.89	40.02	38.42	33.74	38.06	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	3.2	5.5	-5.5	7.4	9.0			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471486.7985938	35.98	39.82	39.95	38.23	33.66	37.98	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	3.2	5.5	-5.5	7.4	9.0			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471486.9050944	35.9	39.77	39.9	38.17	33.6	37.93	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	2.9	5.3	-5.3	7.6	9.3			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.013918	35.79	39.7	39.62	38.13	33.52	37.94	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	2.9	5.3	-5.3	7.6	9.3			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.1206143	35.86	39.63	39.53	38.09	33.45	37.78	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.9	3.2	5.4	-5.4	7.6	9.0			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.2273884	35.61	39.57	39.66	38.04	33.38	37.73	25.0	117	125	122	17	23	19			734	632	555	476	629	553	473			164
-5.9	3.2	5.4	-5.4	7.6	9.0			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.3353264	35.52	39.5	39.59	37.95	33.31	37.73	25.0	117	125	122	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.0	5.2	-5.2	7.4	9.1			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.4415643	35.45	39.44	39.53	37.92	33.24	37.69	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	3.0	5.2	-5.2	7.4	9.1			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.5488977	35.35	39.37	39.32	37.84	33.17	37.6	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	3.0	5.2	-5.2	7.4	9.1			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.6569753	35.27	39.31	39.2	37.82	33.12	37.54	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.5	3.0	5.2	-5.2	7.4	9.1			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.7631857	35.21	39.26	39.21	37.75	33.05	37.43	25.0	117	125	121	17	23	19			734	632	556	476	629	553	473			164
-5.7	3.3	5.3	-5.3	7.4	8.9			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.871456	35.3	39.23	39.11	37.75	33.02	37.36	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.7	3.3	5.3	-5.3	7.4	8.9			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471487.983997	35.13	39.19	39.06	37.69	32.98	37.32	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.2	5.2	-5.2	7.3	8.8			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471488.091507	35.22	39.16	39.19	37.65	32.94	37.32	25.0	117	124	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.2	5.2	-5.2	7.3	8.8			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568471488.205283	35.17	39.12	39.0	37.62	32.9	37.25	25.0	117	124	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.2	5.2	-5.2	7.3	8.8			1.1	1	0	0	1	0.14	0.01	0.01	0.11	0.1	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.312671	66.29	39.06	38.91	71.82	57.9	37.28	25.0	117	124	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.2	5.2	-5.2	7.3	8.8			1.1	1	0	0	1	0.4	0.01	0.01	0.42	0.22	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.423454	41.03	38.99	39.02	46.58	46.22	37.22	25.0	117	124	121	17	23	19			734	632	555	476	629	553	473			164
-5.5	3.4	5.5	-5.5	7.6	9.0			1.1	1	0	0	1	0.34	0.01	0.01	0.35	0.27	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.534699	44.7	38.92	38.75	49.98	42.77	37.07	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.8	3.1	5.4	-5.4	7.5	8.8			1.1	1	0	0	1	0.35	0.01	0.01	0.37	0.29	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.6455054	46.49	38.87	38.88	49.68	40.97	36.98	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.8	3.1	5.4	-5.4	7.5	8.8			1.1	1	0	0	1	0.34	0.01	0.01	0.38	0.3	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.7535808	44.96	38.8	38.81	48.99	40.83	37.03	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.9	3.0	5.6	-5.6	7.2	9.1			1.1	1	0	0	1	0.37	0.01	0.01	0.39	0.28	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.8638701	45.7	38.74	38.75	48.72	42.37	36.89	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
-5.9	3.0	5.6	-5.6	7.2	9.1			1.1	1	0	0	1	0.35	0.01	0.01	0.4	0.3	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568471488.9718232	44.99	38.69	38.69	48.62	41.15	36.83	25.0	117	125	121	17	23	19			734	632	555	476	629	553	473			164
