aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-4.6	1.3	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.3046157	36.45	39.85	39.87	38.73	34.43	38.7	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.6	1.3	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.4106126	36.33	39.77	39.81	38.81	34.35	38.63	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.6	1.3	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.5169363	36.21	39.73	39.67	38.66	34.27	38.55	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.1	1.1	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.6320586	36.15	39.79	39.69	38.6	34.2	38.48	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.1	1.1	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.7380466	36.01	39.73	39.51	38.68	34.13	38.41	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-3.8	0.4	-4.6	4.6	2.9	nan			3.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.84591	36.04	39.61	39.39	38.45	34.06	38.34	25.0	103	116	121	20	16	nan			361	622	546	468	618	540	nan			949
-3.8	0.4	-4.6	4.6	2.9	nan			3.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470545.9520714	35.97	39.56	39.42	38.44	33.98	38.35	25.0	103	116	121	20	16	nan			361	622	546	468	618	540	nan			949
-3.6	0.5	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.0585597	35.92	39.47	39.35	38.35	33.92	38.2	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-3.6	0.5	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.164707	36.0	39.28	39.13	38.3	33.84	38.12	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-3.6	0.5	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.2708964	35.67	39.16	39.03	38.4	33.76	38.04	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-3.6	0.5	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.3768604	35.58	39.12	39.07	38.34	33.7	37.98	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.0	0.6	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.4835846	35.67	39.19	38.99	38.17	33.62	37.94	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.0	0.6	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.5906308	35.58	39.08	38.9	38.09	33.55	37.86	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			949
-4.3	0.6	-4.7	4.7	3.5	nan			3.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.697389	35.43	39.0	38.82	38.03	33.48	37.77	25.0	103	116	121	20	16	nan			361	622	546	468	618	540	nan			949
-4.3	0.6	-4.7	4.7	3.5	nan			3.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.810886	35.28	38.84	38.6	37.97	33.41	37.7	25.0	103	116	121	20	16	nan			361	622	546	468	618	540	nan			949
-4.3	0.6	-4.7	4.7	3.5	nan			3.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470546.9169953	35.17	38.9	38.63	38.08	33.33	37.63	25.0	103	116	121	20	16	nan			361	622	546	468	618	540	nan			949
-4.3	0.6	-4.7	4.7	3.5	nan			3.4	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470547.0301075	34.94	38.83	38.54	37.85	33.25	37.66	25.0	103	116	121	20	16	nan			361	622	546	468	618	540	nan			949
-3.6	0.2	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470547.1372662	35.13	38.74	38.46	37.93	33.18	37.49	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			950
-3.6	0.2	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568470547.243244	34.89	38.69	38.25	37.9	33.1	37.41	25.0	103	116	121	20	nan	nan			361	622	546	468	618	nan	nan			950
