aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-3.4	3.6	9.2	-9.2	4.5	6.2			183.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114375.5552244	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	238	242			1468	317	393	473	321	398	478			431
-3.4	3.6	9.2	-9.2	4.5	6.2			183.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114375.6668527	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	238	242			1468	317	393	473	321	398	478			431
-3.4	3.6	9.2	-9.2	4.5	6.2			183.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114375.7749584	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	238	242			1468	317	393	473	321	398	478			431
-3.2	3.3	8.7	-8.7	4.6	6.0			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114375.8963244	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	239	242			1468	317	394	473	321	398	478			431
-3.2	3.3	8.7	-8.7	4.6	6.0			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114376.0026782	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	239	242			1468	317	394	473	321	398	478			431
-3.5	3.5	9.4	-9.4	4.6	6.4			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114376.1091657	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	238	242			1468	317	394	473	321	398	478			431
-3.5	3.5	9.4	-9.4	4.6	6.4			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114376.218567	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	238	242			1468	317	394	473	321	398	478			431
-3.2	3.2	9.0	-9.0	4.2	6.3			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114376.331181	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	159	156	254	238	242			1468	317	394	473	321	398	478			431
-3.2	3.2	9.0	-9.0	4.2	6.3			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114376.4426818	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	159	156	254	238	242			1468	317	394	473	321	398	478			431
-3.4	3.1	9.1	-9.1	4.4	6.1			182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568114376.5544853	25.0	25.0	25.0	25.0	25.0	25.0	25.0	159	160	156	254	238	242			1468	317	394	473	321	398	478			431
