aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
0.4	5.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.1836567	33.81	37.62	37.52	36.4	32.12	36.69	25.0	153	159	156	250					1404	320	397	476	323					822
0.4	5.6								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.2905695	33.75	37.55	37.43	36.34	32.04	36.63	25.0	153	159	156	250					1404	320	397	476	323					822
0.5	5.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.3965948	33.51	37.49	37.4	36.28	31.98	36.58	25.0	153	159	157	251		248			1404	320	397	476	323		480			822
0.5	5.4								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.5046456	33.57	37.28	37.34	36.22	31.9	36.51	25.0	153	159	157	251		248			1404	320	397	476	323		480			822
-0.3	6.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.6115346	33.33	37.54	37.25	36.16	31.89	36.65	25.0	153	159	157	250					1404	320	397	476	323					822
-0.3	6.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.7200582	33.25	37.28	37.01	36.1	31.78	36.41	25.0	153	159	157	250					1404	320	397	476	323					822
-0.3	6.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.8267353	33.15	37.22	37.08	36.04	31.7	36.34	25.0	153	159	157	250					1404	320	397	476	323					822
-0.3	6.1								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115394.9324248	33.21	37.16	37.0	35.99	31.64	36.29	25.0	153	159	157	250					1404	320	397	476	323					822
0.4	5.5	8.2	-8.2	5.5				182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.0407772	32.98	37.09	36.77	35.92	31.74	36.23	25.0	153	159	156	251	238				1404	320	397	476	323	401				822
0.4	5.5	8.2	-8.2	5.5				182.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.1479297	32.93	37.02	36.87	35.86	31.75	36.16	25.0	153	159	156	251	238				1404	320	397	476	323	401				822
-0.1	6.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.2550557	32.81	36.96	36.79	35.8	31.49	36.11	25.0	153	159	156	251		248			1404	320	397	476	323		480			822
-0.1	6.0								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.3624096	32.77	36.89	36.71	35.74	31.59	36.05	25.0	153	159	156	251		248			1404	320	397	476	323		480			822
-0.1	6.2								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.4702346	32.66	36.82	36.69	35.69	31.34	35.99	25.0	153	159	157	251		248			1404	320	397	476	323		480			822
-0.1	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.5797887	32.6	36.76	36.62	35.62	31.27	35.93	25.0	153	159	156	250		248			1404	320	397	476	323		480			822
-0.1	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.6863046	32.68	36.69	36.36	35.56	31.19	35.87	25.0	153	159	156	250		248			1404	320	397	476	323		480			822
0.3	5.8	8.1	-8.1	6.0				182.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.7927763	32.62	36.63	36.43	35.51	31.13	35.95	25.0	153	159	156	250	238				1404	320	397	476	323	400				822
0.3	5.8	8.1	-8.1	6.0				182.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115395.899858	32.34	36.55	36.22	35.44	31.13	35.75	25.0	153	159	156	250	238				1404	320	397	476	323	400				822
0.2	5.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.0066245	32.27	36.48	36.31	35.38	31.17	35.7	25.0	153	159	156	251					1404	320	397	477	323					822
0.2	5.8								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.1183631	32.17	36.41	36.1	35.32	30.94	35.63	25.0	153	159	156	251					1404	320	397	477	323					822
-0.1	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.2250617	32.09	36.36	36.16	35.26	31.07	35.57	25.0	153	159	157	251		248			1404	320	397	476	323		480			822
-0.1	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.3311813	32.04	36.3	36.14	35.23	30.91	35.54	25.0	153	159	157	251		248			1404	320	397	476	323		480			822
0.3	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.4383113	31.99	36.24	35.97	35.2	30.82	35.51	25.0	153	159	156	251					1404	320	397	476	323					822
0.3	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.5439613	32.12	36.24	36.02	35.31	30.78	35.62	25.0	153	159	156	251					1404	320	397	476	323					822
0.1	5.9								0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568115396.651938	32.08	36.21	36.03	35.2	30.74	35.45	25.0	153	159	156	250		248			1404	320	397	476	323		480			822
