aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-4.1	0.7	5.2	-5.2	7.8	8.7			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472113.68654	37.23	40.62	35.79	41.56	35.63	38.5	25.0	115	121	116	15	20	15			378	628	552	472	626	549	470			156
-4.1	0.7	5.2	-5.2	7.8	8.7			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472113.794429	37.14	40.55	35.71	41.49	35.54	38.41	25.0	115	121	116	15	20	15			378	628	552	472	626	549	470			156
-3.6	0.6	5.0	-5.0	7.5	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472113.9037766	37.04	40.48	35.62	41.7	35.45	38.37	25.0	115	121	116	15	20	15			378	628	552	472	626	549	470			156
-3.6	0.6	5.0	-5.0	7.5	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.0140872	36.96	40.42	35.55	41.71	35.37	38.32	25.0	115	121	116	15	20	15			378	628	552	472	626	549	470			156
-3.6	0.6	5.0	-5.0	7.5	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.121176	36.86	40.35	35.33	41.44	35.31	38.25	25.0	115	121	116	15	20	15			378	628	552	472	626	549	470			156
-3.6	0.6	5.0	-5.0	7.5	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.2279346	36.97	40.28	35.35	41.4	35.2	38.19	25.0	115	121	116	15	20	15			378	628	552	472	626	549	470			156
-3.3	0.4	4.8	-4.8	7.7	8.7			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.335124	36.71	40.22	35.28	41.29	35.25	38.14	25.0	115	121	116	15	20	15			378	628	551	472	626	549	470			156
-3.3	0.4	4.8	-4.8	7.7	8.7			1.1	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.4427197	36.61	40.15	35.06	41.12	35.07	38.07	25.0	115	121	116	15	20	15			378	628	551	472	626	549	470			156
-3.8	0.7	5.3	-5.3	7.3	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.5500135	36.51	40.08	35.09	41.21	34.99	38.01	25.0	115	121	116	15	20	15			378	628	552	473	626	549	470			156
-3.8	0.7	5.3	-5.3	7.3	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.6570122	36.42	40.01	35.0	41.35	35.01	37.95	25.0	115	121	116	15	20	15			378	628	552	473	626	549	470			156
-3.5	0.6	5.0	-5.0	7.3	8.8			1.7	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568472114.765618	36.35	39.96	34.94	41.12	34.93	37.91	25.0	115	121	116	15	20	15			378	628	552	473	626	549	470			156
