aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-4.3	2.1	0.4	-0.4	7.2	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.3153102	37.57	40.99	40.51	39.02	34.78	39.6	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.1	1.6	0.3	-0.3	7.0	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.4226117	37.47	40.92	40.41	38.78	34.71	39.52	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.1	1.6	0.3	-0.3	7.0	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.529081	37.39	40.86	40.34	38.73	34.62	39.46	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.1	1.6	0.3	-0.3	7.0	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.6362884	37.31	40.8	40.04	38.67	34.57	39.4	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.1	1.6	0.3	-0.3	7.0	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.744024	37.22	40.73	40.37	38.61	34.47	39.32	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-3.9	1.4	0.3	-0.3	7.2	nan			358.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.8528078	37.14	40.71	40.05	38.56	34.52	39.26	25.0	119	122	117	23	21	nan			706	625	547	469	627	550	nan			952
-3.9	1.4	0.3	-0.3	7.2	nan			358.3	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473054.9595618	37.04	40.59	40.04	38.49	34.44	39.18	25.0	119	122	117	23	21	nan			706	625	547	469	627	550	nan			952
-4.2	1.9	0.1	-0.1	7.3	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.066025	37.09	40.53	40.2	38.43	34.27	39.11	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.2	1.9	0.1	-0.1	7.3	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.1727717	36.89	40.46	39.83	38.36	34.27	39.13	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.2	1.9	0.1	-0.1	7.3	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.3006308	36.8	40.42	39.73	38.32	34.11	39.0	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.2	1.9	0.1	-0.1	7.3	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.4133496	36.74	40.33	40.0	38.28	34.07	39.04	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.5	2.1	0.3	-0.3	nan	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.5250049	36.69	40.33	39.97	38.25	34.13	39.01	25.0	119	122	117	nan	21	nan			706	625	548	469	nan	550	nan			952
-4.5	2.1	0.3	-0.3	nan	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.6374555	36.64	40.3	39.93	38.22	34.09	38.96	25.0	119	122	117	nan	21	nan			706	625	548	469	nan	550	nan			952
-4.4	1.7	0.2	-0.2	7.0	nan			358.9	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568473055.7505097	36.6	40.26	39.9	38.36	34.05	38.96	25.0	119	122	116	23	21	nan			706	625	548	469	627	550	nan			952
-4.4	1.7	0.2	-0.2	7.0	nan			358.9	1	0	0	1	0.21	0.01	0.01	0.1	0.1	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473055.8650024	62.97	40.19	39.83	70.54	56.59	38.79	25.0	119	122	116	23	21	nan			706	625	548	469	627	550	nan			952
-4.4	1.7	0.2	-0.2	7.0	nan			358.9	1	0	0	1	0.45	0.01	0.01	0.42	0.24	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473055.980615	37.03	40.12	39.65	44.74	45.6	38.73	25.0	119	122	116	23	21	nan			706	625	548	469	627	550	nan			952
-4.4	1.7	0.2	-0.2	7.0	nan			358.9	1	0	0	1	0.28	0.01	0.01	0.34	0.28	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.1035693	50.86	40.06	39.68	51.05	42.97	38.67	25.0	119	122	116	23	21	nan			706	625	548	469	627	550	nan			952
-4.3	1.6	0.1	-0.1	7.2	nan			358.9	1	0	0	1	0.4	0.01	0.01	0.37	0.31	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.2181835	42.95	39.99	39.59	50.05	40.98	38.7	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.3	1.6	0.1	-0.1	7.2	nan			358.9	1	0	0	1	0.35	0.01	0.01	0.39	0.31	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.3299088	47.69	39.92	39.43	48.87	40.74	38.64	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.2	1.7	0.2	-0.2	7.2	nan			358.9	1	0	0	1	0.39	0.01	0.01	0.4	0.29	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.440419	43.93	39.85	39.39	48.6	42.42	38.47	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-4.2	1.7	0.2	-0.2	7.2	nan			358.9	1	0	0	1	0.37	0.01	0.01	0.4	0.3	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.5492063	47.15	39.79	39.1	48.8	41.41	38.52	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
-3.3	1.8	0.2	-0.2	7.1	nan			358.9	1	0	0	1	0.36	0.01	0.01	0.4	0.3	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.659545	44.69	39.72	39.21	48.93	42.24	38.45	25.0	119	122	117	23	21	nan			706	625	548	469	627	550	nan			952
9.1	-1.6	-19.9	19.9	21.0	-1.9				1	0	0	1	0.37	0.01	0.01	0.41	0.31	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.772727	48.42	39.69	39.23	48.62	41.4	38.42	25.0	120	127	135	31	27	9			706	625	548	470	626	548	471			952
9.1	-1.6	-19.9	19.9	21.0	-1.9				1	1	1	1	0.39	0.01	0.01	0.41	0.3	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.8877687	44.35	39.62	39.16	48.84	42.54	38.35	25.0	120	127	135	31	27	9			706	625	548	470	626	548	471			952
9.1	-1.6	-19.9	19.9	21.0	-1.9				1	1	1	1	0.4	0.01	0.01	0.41	0.32	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473056.9958186	46.62	39.56	39.1	48.73	41.55	38.3	25.0	120	127	135	31	27	9			706	625	548	470	626	548	471			952
9.1	-1.6	-19.9	19.9	21.0	-1.9				0	1	1	0	0.37	0.01	0.01	0.41	0.3	0.01	0.01	0.41	0.0	0.0	0.44	0.33	0.0	0	1568473057.1044426	45.95	39.49	39.03	48.92	42.34	38.24	25.0	120	127	135	31	27	9			706	625	548	470	626	548	471			952
15.1	-0.9	-27.7	27.7	27.5	-5.0			1.2	0	1	1	0	0.23	0.07	0.16	0.02	0.02	0.24	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.2129955	45.48	63.03	74.34	39.71	35.07	75.0	25.0	120	130	145	35	31	9			706	625	549	472	625	547	471			952
15.1	-0.9	-27.7	27.7	27.5	-5.0			1.2	0	1	1	0	0.37	0.25	0.52	0.01	0.02	0.62	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.3207073	42.63	49.41	43.73	44.17	37.94	40.93	25.0	120	130	145	35	31	9			706	625	549	472	625	547	471			952
16.2	-2.4	-30.1	30.1	28.0	-4.6			1.7	0	1	1	0	0.22	0.27	0.4	0.01	0.02	0.49	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.428319	51.18	45.6	52.47	44.07	37.8	57.37	25.0	120	130	146	38	31	9			706	625	549	472	625	546	471			952
16.2	-2.4	-30.1	30.1	28.0	-4.6			1.7	0	1	1	0	0.36	0.25	0.42	0.01	0.02	0.58	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.538176	40.78	47.47	52.6	43.95	37.65	50.26	25.0	120	130	146	38	31	9			706	625	549	472	625	546	471			952
16.2	-2.4	-30.1	30.1	28.0	-4.6			1.7	0	1	1	0	0.28	0.26	0.45	0.01	0.02	0.59	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.6465096	49.89	47.13	50.49	43.86	37.69	49.97	25.0	120	130	146	38	31	9			706	625	549	472	625	546	471			952
16.2	-2.4	-30.1	30.1	28.0	-4.6			1.7	0	1	1	0	0.3	0.26	0.46	0.01	0.02	0.6	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.7543907	42.69	46.96	49.64	43.74	37.62	49.96	25.0	120	130	146	38	31	9			706	625	549	472	625	546	471			952
17.0	-2.4	-31.0	31.0	28.3	-4.7			1.8	0	1	1	0	0.33	0.26	0.47	0.01	0.02	0.6	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.8642166	44.98	47.26	49.27	43.83	37.48	50.08	25.0	120	130	147	39	32	9			706	625	549	472	625	546	471			952
17.0	-2.4	-31.0	31.0	28.3	-4.7			1.8	0	1	1	0	0.27	0.27	0.48	0.01	0.02	0.61	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473057.9719603	45.34	47.16	49.27	43.71	37.37	49.98	25.0	120	130	147	39	32	9			706	625	549	472	625	546	471			952
8.8	3.9	-17.1	17.1	17.8	nan			1.7	0	1	1	0	0.36	0.27	0.48	0.01	0.01	0.61	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473058.0808606	42.95	47.08	49.18	43.65	37.43	49.88	25.0	120	134	147	39	33	nan			706	626	550	472	625	547	nan			952
8.8	3.9	-17.1	17.1	17.8	nan			1.7	0	1	1	0	0.25	0.27	0.48	0.01	0.01	0.62	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473058.1886363	49.55	47.3	49.42	43.56	37.29	50.05	25.0	120	134	147	39	33	nan			706	626	550	472	625	547	nan			952
10.1	20.6	12.6	-12.6	5.2	nan			0.6	0	1	1	0	0.36	0.28	0.48	0.01	0.01	0.62	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473058.2959847	41.64	47.15	49.17	43.48	37.24	50.16	25.0	156	144	147	39	42	nan			706	626	550	472	625	549	nan			952
10.1	20.6	12.6	-12.6	5.2	nan			0.6	0	1	1	0	0.29	0.28	0.48	0.01	0.01	0.62	0.01	0.32	0.3	0.51	0.0	0.0	0.66	0	1568473058.4059448	49.26	47.14	49.54	43.51	37.34	50.36	25.0	156	144	147	39	42	nan			706	626	550	472	625	549	nan			952
