aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-6.6	19.2	-59.2	59.2	36.9	10.6			171.0	0	0	0	0	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901604.9548028	40.12	42.69	25.0	43.54	38.24	41.32	25.0	551	512	464	597	632	711			nan	484	584	679	460	565	635			nan
0.7	17.2	-52.8	52.8	21.9	8.7			169.6	0	0	0	0	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.060943	40.01	42.35	25.0	43.63	38.08	41.2	25.0	533	512	476	582	632	709			nan	482	587	687	466	565	638			nan
0.7	17.2	-52.8	52.8	21.9	8.7			169.6	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.1665058	40.01	42.51	25.0	43.55	37.93	41.1	25.0	533	512	476	582	632	709			nan	482	587	687	466	565	638			nan
0.7	17.2	-52.8	52.8	21.9	8.7			169.6	0	0	0	0	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.274319	39.88	42.44	25.0	43.34	37.85	41.09	25.0	533	512	476	582	632	709			nan	482	587	687	466	565	638			nan
-0.6	16.3	-51.5	51.5	20.9	8.9			169.1	0	0	0	0	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.381437	39.78	42.35	25.0	43.36	37.87	40.96	25.0	533	512	478	582	632	709			nan	483	588	688	467	565	638			nan
-0.6	16.3	-51.5	51.5	20.9	8.9			169.1	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.4995131	39.66	42.24	25.0	43.25	37.73	40.84	25.0	533	512	478	582	632	709			nan	483	588	688	467	565	638			nan
1.6	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.6068196	39.47	42.17	25.0	43.2	37.62	40.9	25.0	534	518	nan	581	nan	711			nan	490	597	nan	470	nan	640			nan
1.6	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.716803	39.42	42.06	25.0	43.07	37.65	40.79	25.0	534	518	nan	581	nan	711			nan	490	597	nan	470	nan	640			nan
1.6	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.8295748	39.31	41.97	25.0	43.1	37.5	40.68	25.0	534	518	nan	581	nan	711			nan	490	597	nan	470	nan	640			nan
1.6	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901605.9405923	39.4	41.88	25.0	43.01	37.42	40.57	25.0	534	518	nan	581	nan	711			nan	490	597	nan	470	nan	640			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901606.0520666	39.3	41.79	25.0	42.93	37.32	40.49	25.0	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901606.1674457	39.02	41.76	25.0	42.87	37.23	40.38	25.0	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	nan	nan	nan	nan	nan			nan	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901606.2816894	38.93	41.76	25.0	42.77	37.11	40.39	25.0	nan	nan	nan	nan	nan	nan			nan	nan	nan	nan	nan	nan	nan			nan
nan	10.2	-2.9	2.9	13.9	13.4			6.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901606.387358	38.82	41.72	25.0	42.7	37.02	40.31	25.0	nan	582	611	421	443	449			nan	nan	585	482	672	570	460			nan
nan	10.2	-2.9	2.9	13.9	13.4			6.2	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901606.5005653	38.85	41.61	25.0	42.62	36.91	40.21	25.0	nan	582	611	421	443	449			nan	nan	585	482	672	570	460			nan
