aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-1.8	10.0	-44.9	44.9	17.1	6.7			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.2632852	25.0	28.96	25.0	29.11	25.0	27.63	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	10.0	-44.9	44.9	17.1	6.7			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.3772032	25.0	28.89	25.0	29.04	25.0	27.6	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.7	9.8	-45.1	45.1	17.3	6.6			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.4835167	25.0	28.81	25.0	28.97	25.0	27.56	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.7	9.8	-45.1	45.1	17.3	6.6			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.6006286	25.0	28.93	25.0	29.06	25.0	27.49	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.7	9.8	-45.1	45.1	17.3	6.6			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.7076995	25.0	28.7	25.0	28.83	25.0	27.4	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.7	-44.9	44.9	17.3	7.0			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.8181474	25.0	28.64	25.0	29.18	25.0	27.38	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.7	-44.9	44.9	17.3	7.0			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901003.92519	25.0	28.61	25.0	28.75	25.0	27.45	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.7	-44.9	44.9	17.3	7.0			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.031622	25.0	28.52	25.0	28.71	25.0	27.3	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.7	-44.9	44.9	17.3	7.0			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.138	25.0	28.6	25.0	28.79	25.0	27.22	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.8	-44.8	44.8	16.9	7.1			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.2449014	25.0	28.46	25.0	28.67	25.0	27.16	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.8	-44.8	44.8	16.9	7.1			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.3521721	25.0	28.34	25.0	28.56	25.0	27.09	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.8	-44.8	44.8	16.9	7.1			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.458482	25.0	28.3	25.0	28.39	25.0	27.08	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.8	9.8	-44.8	44.8	16.9	7.1			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.5656874	25.0	28.36	25.0	28.39	25.0	26.98	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.9	9.5	-44.9	44.9	16.9	6.0			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.6722014	25.0	28.2	25.0	28.34	25.0	26.93	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.9	9.5	-44.9	44.9	16.9	6.0			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.7824366	25.0	28.11	25.0	28.28	25.0	27.02	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	512			nan
-1.9	9.7	-44.8	44.8	16.9	6.1			122.8	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568901004.8901033	25.0	28.23	25.0	28.25	25.0	26.82	25.0	428	494	553	455	561	669			nan	524	612	700	473	508	513			nan
