aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
-0.6	0.8	11.9	-11.9	12.0	6.5			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.046275	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	425	433	422			nan	658	554	450	678	569	462			nan
-0.6	0.8	11.9	-11.9	12.0	6.5			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.1530578	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	425	433	422			nan	658	554	450	678	569	462			nan
-0.6	0.8	11.5	-11.5	12.4	6.0			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.264346	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	425	433	422			nan	658	554	450	678	569	462			nan
-0.6	0.8	11.5	-11.5	12.4	6.0			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.3711524	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	425	433	422			nan	658	554	450	678	569	462			nan
-0.4	0.6	11.7	-11.7	12.0	6.4			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.47815	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	426	433	422			nan	658	554	450	678	569	462			nan
-0.4	0.6	11.7	-11.7	12.0	6.4			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.5840862	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	426	433	422			nan	658	554	450	678	569	462			nan
-0.4	0.6	11.7	-11.7	12.0	6.4			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.692052	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	426	433	422			nan	658	554	450	678	569	462			nan
-0.4	0.6	11.7	-11.7	12.0	6.4			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.7988918	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	426	433	422			nan	658	554	450	678	569	462			nan
-0.6	0.7	12.3	-12.3	11.3	6.9			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899002.9085214	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	426	433	422			nan	658	554	450	678	569	462			nan
-0.6	0.7	12.3	-12.3	11.3	6.9			353.5	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568899003.0153825	25.0	25.0	25.0	25.0	25.0	25.0	25.0	591	565	538	426	433	422			nan	658	554	450	678	569	462			nan
