aIMG0	aIMG1	aIMG2	aIMG3	aIMG4	aIMG5	aIMG6	aIMG7	eps	f0	f1	f2	f3	p0	p1	p2	p3	p4	p5	p6	r0	r1	r2	r3	r4	r5	r6	time	u0	u1	u2	u3	u4	u5	u6	x0	x1	x2	x3	x4	x5	x6	x7	x8	y0	y1	y2	y3	y4	y5	y6	y7	y8
8.3	112.2	100.4	-100.4	-7.9	93.9			355.8	0	1	1	0	0.18	0.85	1.01	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.1500516	43.42	51.35	56.94	42.3	36.88	52.91	25.0	919	823	821	644	715	697			nan	602	556	470	645	564	471			nan
8.2	113.6	102.2	-102.2	-8.1	94.8			355.2	0	1	1	0	0.1	0.85	0.99	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.2560728	46.92	51.53	57.92	42.22	36.77	53.01	25.0	920	823	821	644	715	698			nan	600	556	470	645	565	472			nan
8.2	113.6	102.2	-102.2	-8.1	94.8			355.2	0	1	1	0	0.16	0.85	0.99	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.3623645	41.82	51.36	57.0	42.15	36.88	53.01	25.0	920	823	821	644	715	698			nan	600	556	470	645	565	472			nan
8.2	113.6	102.2	-102.2	-8.1	94.8			355.2	0	1	1	0	0.16	0.85	1.01	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.4697714	45.9	51.51	57.09	41.93	36.59	53.0	25.0	920	823	821	644	715	698			nan	600	556	470	645	565	472			nan
8.2	113.6	102.2	-102.2	-8.1	94.8			355.2	0	1	1	0	0.1	0.85	0.99	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.5764403	44.99	51.31	58.05	42.03	36.5	52.99	25.0	920	823	821	644	715	698			nan	600	556	470	645	565	472			nan
7.9	114.9	104.0	-104.0	-8.8	96.6			354.7	1	1	1	1	0.18	0.85	1.0	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.684552	43.29	51.49	56.58	41.88	36.46	52.99	25.0	921	823	821	644	716	698			nan	597	556	470	645	566	473			nan
7.9	114.9	104.0	-104.0	-8.8	96.6			354.7	1	1	1	1	0.1	0.85	1.01	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.791354	46.45	51.54	57.36	41.83	36.58	52.95	25.0	921	823	821	644	716	698			nan	597	556	470	645	566	473			nan
7.7	115.6	104.7	-104.7	-8.8	96.8			354.1	1	1	1	1	0.16	0.85	0.99	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899028.8976867	42.33	51.31	57.81	41.81	36.28	53.09	25.0	921	823	821	644	716	698			nan	596	555	470	645	566	474			nan
7.7	115.6	104.7	-104.7	-8.8	96.8			354.1	1	1	1	1	0.16	0.85	1.01	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899029.0044174	45.65	51.53	56.95	41.87	36.33	53.03	25.0	921	823	821	644	716	698			nan	596	555	470	645	566	474			nan
8.3	115.9	104.7	-104.7	-8.4	97.3			354.1	1	1	1	1	0.11	0.85	1.0	0.01	0.01	0.8	0.01	0.14	0.85	1.0	0.0	0.0	0.8	0.0	1568899029.1120245	45.65	51.41	57.69	41.51	36.18	53.14	25.0	921	822	821	644	716	698			nan	595	555	470	645	566	474			nan
